region,mean_p,cmro2,cmrglu,mean_i
Cont_Cing_1 L,1.4935963068401898e-12,2281.0266,3158.1892,2.8822981435098003e-10
Cont_Cing_1 R,1.6357485673004598e-12,2608.3022,3383.1028,3.03975132402153e-10
Cont_Cing_2 L,7.64980806925613e-13,2444.647,2814.6045,2.0589099296886e-10
Cont_Cing_2 R,1.1288426459348198e-12,2365.3826,3069.714,2.72056737300122e-10
Cont_Cing_3 L,1.4030129225578399e-12,2673.2168,3644.7383,3.7227791421513004e-10
Cont_Cing_3 R,1.0277436705658399e-12,1857.9988,2258.0337,2.72095087512112e-10
Cont_Cing_4 L,7.40806665646732e-13,2561.3267,3094.062,2.11074018048387e-10
Cont_Cing_4 R,5.170557000436239e-13,2368.4202,2911.5923,1.23063638296112e-10
Cont_OFC_1 L,1.2136108539968e-10,4834.4673,6308.136,4.61790126755885e-09
Cont_PFCd_1 L,3.16406135813281e-12,5241.669,7185.202,5.432129147433171e-10
Cont_PFCd_2 L,7.63512202751824e-12,5082.031,6886.915,1.50223808492474e-09
Cont_PFCl_1 L,1.76561599398673e-10,5040.0273,6767.5596,7.473268885230281e-09
Cont_PFCl_1 R,3.56337065637997e-11,5107.298,6534.144,2.34696073905687e-09
Cont_PFCl_10 L,2.11364651326513e-12,5365.331,7277.145,4.96792257541368e-10
Cont_PFCl_10 R,6.16662095370118e-12,5459.763,7365.56,9.52968094300509e-10
Cont_PFCl_11 L,1.4704477071055397e-11,5225.103,6899.889,2.13734834227989e-09
Cont_PFCl_11 R,2.01009904779326e-11,5466.457,7321.769,2.3935234158617702e-09
Cont_PFCl_12 L,7.84397446258141e-12,5344.1533,7435.467,1.2280857473322302e-09
Cont_PFCl_12 R,9.40408577132248e-12,5436.7085,7336.689,1.03627246346066e-09
Cont_PFCl_13 L,2.79832040228246e-12,5407.394,7529.118,5.30206208849685e-10
Cont_PFCl_13 R,1.6944236636910697e-11,5441.012,7209.4087,1.89996569283513e-09
Cont_PFCl_14 R,2.6295558989713e-12,5602.6387,7370.0996,5.72954934614263e-10
Cont_PFCl_15 R,1.4547955740834498e-11,5477.904,7411.373,2.05287906719059e-09
Cont_PFCl_16 R,2.2906517014868397e-12,5530.444,7386.2305,5.28476983683496e-10
Cont_PFCl_17 R,1.50139266451073e-11,5356.2305,7246.3594,2.27740502550907e-09
Cont_PFCl_18 R,5.98568559604933e-12,5526.616,7465.9165,9.64527594395614e-10
Cont_PFCl_19 R,4.3148745498816594e-12,5631.638,7552.4033,7.59156778990251e-10
Cont_PFCl_2 L,3.93670403350061e-11,5193.7944,6943.26,1.8178535198163e-09
Cont_PFCl_2 R,1.04266413467885e-10,4938.824,6320.2812,4.6111655969629e-09
Cont_PFCl_20 R,1.0929199692416599e-11,5084.665,7065.698,1.6289886774558901e-09
Cont_PFCl_21 R,1.1526432107038599e-11,5408.306,7257.5454,1.6781919011998401e-09
Cont_PFCl_22 R,5.54571047867823e-12,5305.9355,7223.423,1.0325363406111602e-09
Cont_PFCl_23 R,1.94031744386973e-12,5238.1606,7042.244,4.0203036828783503e-10
Cont_PFCl_24 R,4.70785291615931e-12,5255.0137,6909.1885,8.3967999790574e-10
Cont_PFCl_25 R,6.7274897411386596e-12,5103.9463,6802.2324,1.1056440754802e-09
Cont_PFCl_3 L,2.60752246431679e-11,5359.109,7243.871,2.00368353547374e-09
Cont_PFCl_3 R,1.50384905165364e-10,4943.2554,6834.389,6.748955544645131e-09
Cont_PFCl_4 L,1.7531618736563697e-11,5505.9004,7432.926,1.81568812635426e-09
Cont_PFCl_4 R,4.6186245610644e-11,5471.051,7225.1084,2.2892485967948804e-09
Cont_PFCl_5 L,2.3098291912585798e-11,5344.833,7230.071,2.79975885063621e-09
Cont_PFCl_5 R,5.33955030558596e-11,5200.4233,6822.2905,3.0298497080905904e-09
Cont_PFCl_6 L,6.14187912343432e-12,5460.9526,7149.044,1.06231951537718e-09
Cont_PFCl_6 R,3.0448837271579496e-11,5312.5947,7132.2393,2.5953883342117604e-09
Cont_PFCl_7 L,8.70919468529655e-12,5473.114,7327.9126,1.3073810147562e-09
Cont_PFCl_7 R,3.31943225731174e-11,5637.2896,7559.712,1.9056771543496e-09
Cont_PFCl_8 L,2.6145793349328e-11,5217.188,6967.9536,2.9826543077761603e-09
Cont_PFCl_8 R,3.8492717903764495e-11,5570.509,7499.4326,3.1656021973928e-09
Cont_PFCl_9 L,1.1779875788641e-11,5444.2856,7377.4,1.6773973085424e-09
Cont_PFCl_9 R,1.30231713173568e-11,5452.216,7365.546,1.7815370180448e-09
Cont_PFCmp_1 L,5.108289686843169e-12,5324.1255,7136.6343,1.2826454899771701e-09
Cont_PFCmp_1 R,3.6453510007922e-12,4942.5146,6399.0645,9.49812880754931e-10
Cont_PFCmp_2 L,1.1768448693259e-12,5449.678,7160.488,3.07051166099393e-10
Cont_PFCmp_2 R,5.46653061217805e-12,5131.709,6815.7197,1.0246975750381901e-09
Cont_PFCmp_3 R,3.63709554460282e-12,5336.239,7090.134,9.32202800699596e-10
Cont_PFCv_1 L,1.15981626860277e-12,4792.7534,5536.901,2.86536185338887e-10
Cont_PFCv_1 R,3.3350572218263598e-12,5123.3726,6450.252,6.882094186088901e-10
Cont_PFCv_2 L,3.2099126361854298e-12,5099.8794,6590.053,6.34806154554925e-10
Cont_Par_1 L,5.4489500783168e-12,5544.7544,7220.1123,7.6611974427119e-10
Cont_Par_1 R,9.463243115729e-12,5218.733,6701.134,1.4684273979941402e-09
Cont_Par_2 L,1.57448418754266e-11,4904.079,6288.737,1.8267280281847502e-09
Cont_Par_2 R,1.49493485990597e-11,5044.588,6472.538,1.9466192301270203e-09
Cont_Par_3 L,1.31129292631058e-11,5288.801,6969.923,1.4805032092968502e-09
Cont_Par_3 R,9.83495188130341e-12,5192.4116,6738.8765,1.2695311162907e-09
Cont_Par_4 L,7.41180001478821e-12,5125.165,6658.3433,8.00569838134689e-10
Cont_Par_4 R,7.081679579606919e-12,5577.856,7015.2285,1.03899049432848e-09
Cont_Par_5 L,5.79263216279112e-12,5629.268,7442.3657,8.232711053606501e-10
Cont_Par_5 R,9.42513655250124e-12,5382.554,7083.701,1.33093164191715e-09
Cont_Par_6 L,2.71242696736931e-12,5629.2305,7385.3467,4.90066725426532e-10
Cont_Par_6 R,4.50924175336521e-12,5693.3286,7194.2026,5.79910573559664e-10
Cont_Par_7 L,9.30629358004472e-12,5401.758,6925.6865,1.36050746388624e-09
Cont_Par_7 R,8.11554358510528e-12,5571.564,7196.432,1.12714483944793e-09
Cont_Par_8 L,5.37396654298598e-12,5657.1226,7512.878,7.63290102124485e-10
Cont_Par_8 R,1.9202533835733098e-12,5762.007,7179.601,3.57117808516109e-10
Cont_Par_9 L,1.44524403006909e-12,5444.385,7107.5005,3.43405684801584e-10
Cont_Par_9 R,2.16104598131374e-12,5598.813,7117.917,4.24683085442826e-10
Cont_Temp_1 L,1.12382778950933e-11,4788.475,6031.3276,1.9197919549748e-09
Cont_Temp_1 R,2.6413495518906897e-11,4892.357,6157.2397,3.1099221471767e-09
Cont_Temp_2 R,1.9006624036144297e-11,4855.756,6163.077,3.21732610027275e-09
