region,value
Cont_Cing_1 L,5.24098749484604e-10
Cont_Cing_1 R,5.55576752560142e-10
Cont_Cing_2 L,3.23948539951778e-10
Cont_Cing_2 R,4.93538953965612e-10
Cont_Cing_3 L,6.51861868473563e-10
Cont_Cing_3 R,4.35917553603538e-10
Cont_Cing_4 L,3.401238900771e-10
Cont_Cing_4 R,2.10109812231526e-10
Cont_OFC_1 L,6.7803483604014e-09
Cont_PFCd_1 L,8.04880777158506e-10
Cont_PFCd_2 L,2.22697025992414e-09
Cont_PFCl_1 L,1.09509999509417e-08
Cont_PFCl_1 R,3.2640591047872e-09
Cont_PFCl_10 L,6.87109974762698e-10
Cont_PFCl_10 R,1.46309169668287e-09
Cont_PFCl_11 L,3.29872731056438e-09
Cont_PFCl_11 R,3.51089026338778e-09
Cont_PFCl_12 L,1.84280236411202e-09
Cont_PFCl_12 R,1.52184399978026e-09
Cont_PFCl_13 L,7.61432064954814e-10
Cont_PFCl_13 R,2.96691035307672e-09
Cont_PFCl_14 R,8.12661516364904e-10
Cont_PFCl_15 R,3.19046870375843e-09
Cont_PFCl_16 R,7.43157438294145e-10
Cont_PFCl_17 R,3.51776415261296e-09
Cont_PFCl_18 R,1.46346556668007e-09
Cont_PFCl_19 R,1.11514430853746e-09
Cont_PFCl_2 L,2.44920952590763e-09
Cont_PFCl_2 R,6.76540604932816e-09
Cont_PFCl_20 R,2.547474195688e-09
Cont_PFCl_21 R,2.56018478741196e-09
Cont_PFCl_22 R,1.56858603756021e-09
Cont_PFCl_23 R,5.82665395600723e-10
Cont_PFCl_24 R,1.30760784576938e-09
Cont_PFCl_25 R,1.74860790313222e-09
Cont_PFCl_3 L,2.78647556725221e-09
Cont_PFCl_3 R,9.82431877539875e-09
Cont_PFCl_4 L,2.61842952558576e-09
Cont_PFCl_4 R,3.18823041756065e-09
Cont_PFCl_5 L,3.9092312912585e-09
Cont_PFCl_5 R,4.69738708509497e-09
Cont_PFCl_6 L,1.5851735286867e-09
Cont_PFCl_6 R,3.55511883234062e-09
Cont_PFCl_7 L,1.94501100168773e-09
Cont_PFCl_7 R,2.71960385561636e-09
Cont_PFCl_8 L,4.52137921809769e-09
Cont_PFCl_8 R,4.53031307139546e-09
Cont_PFCl_9 L,2.5351957279826e-09
Cont_PFCl_9 R,2.61038355423031e-09
Cont_PFCmp_1 L,1.83080003045051e-09
Cont_PFCmp_1 R,1.37631929455673e-09
Cont_PFCmp_2 L,4.25693645432085e-10
Cont_PFCmp_2 R,1.53706290403109e-09
Cont_PFCmp_3 R,1.32190593951628e-09
Cont_PFCv_1 L,3.87196339607321e-10
Cont_PFCv_1 R,9.32239515186122e-10
Cont_PFCv_2 L,8.455064202328e-10
Cont_Par_1 L,1.13593645424481e-09
Cont_Par_1 R,2.24687066445919e-09
Cont_Par_2 L,2.80092674506553e-09
Cont_Par_2 R,2.92672806054583e-09
Cont_Par_3 L,2.24274640681745e-09
Cont_Par_3 R,1.96463016062124e-09
Cont_Par_4 L,1.22071296413453e-09
Cont_Par_4 R,1.50437596128521e-09
Cont_Par_5 L,1.19540067905972e-09
