region,value
Cont_Cing_1 L,1.49359630684019e-12
Cont_Cing_1 R,1.63574856730046e-12
Cont_Cing_2 L,7.64980806925613e-13
Cont_Cing_2 R,1.12884264593482e-12
Cont_Cing_3 L,1.40301292255784e-12
Cont_Cing_3 R,1.02774367056584e-12
Cont_Cing_4 L,7.40806665646732e-13
Cont_Cing_4 R,5.17055700043624e-13
Cont_OFC_1 L,1.2136108539968e-10
Cont_PFCd_1 L,3.16406135813281e-12
Cont_PFCd_2 L,7.63512202751824e-12
Cont_PFCl_1 L,1.76561599398673e-10
Cont_PFCl_1 R,3.56337065637997e-11
Cont_PFCl_10 L,2.11364651326513e-12
Cont_PFCl_10 R,6.16662095370118e-12
Cont_PFCl_11 L,1.47044770710554e-11
Cont_PFCl_11 R,2.01009904779326e-11
Cont_PFCl_12 L,7.84397446258141e-12
Cont_PFCl_12 R,9.40408577132248e-12
Cont_PFCl_13 L,2.79832040228246e-12
Cont_PFCl_13 R,1.69442366369107e-11
Cont_PFCl_14 R,2.6295558989713e-12
Cont_PFCl_15 R,1.45479557408345e-11
Cont_PFCl_16 R,2.29065170148684e-12
Cont_PFCl_17 R,1.50139266451073e-11
Cont_PFCl_18 R,5.98568559604933e-12
Cont_PFCl_19 R,4.31487454988166e-12
Cont_PFCl_2 L,3.93670403350061e-11
Cont_PFCl_2 R,1.04266413467885e-10
Cont_PFCl_20 R,1.09291996924166e-11
Cont_PFCl_21 R,1.15264321070386e-11
Cont_PFCl_22 R,5.54571047867823e-12
Cont_PFCl_23 R,1.94031744386973e-12
Cont_PFCl_24 R,4.70785291615931e-12
Cont_PFCl_25 R,6.72748974113866e-12
Cont_PFCl_3 L,2.60752246431679e-11
Cont_PFCl_3 R,1.50384905165364e-10
Cont_PFCl_4 L,1.75316187365637e-11
Cont_PFCl_4 R,4.6186245610644e-11
Cont_PFCl_5 L,2.30982919125858e-11
Cont_PFCl_5 R,5.33955030558596e-11
Cont_PFCl_6 L,6.14187912343432e-12
Cont_PFCl_6 R,3.04488372715795e-11
Cont_PFCl_7 L,8.70919468529655e-12
Cont_PFCl_7 R,3.31943225731174e-11
Cont_PFCl_8 L,2.6145793349328e-11
Cont_PFCl_8 R,3.84927179037645e-11
Cont_PFCl_9 L,1.1779875788641e-11
Cont_PFCl_9 R,1.30231713173568e-11
Cont_PFCmp_1 L,5.10828968684317e-12
Cont_PFCmp_1 R,3.6453510007922e-12
Cont_PFCmp_2 L,1.1768448693259e-12
Cont_PFCmp_2 R,5.46653061217805e-12
Cont_PFCmp_3 R,3.63709554460282e-12
Cont_PFCv_1 L,1.15981626860277e-12
Cont_PFCv_1 R,3.33505722182636e-12
Cont_PFCv_2 L,3.20991263618543e-12
Cont_Par_1 L,5.4489500783168e-12
Cont_Par_1 R,9.463243115729e-12
Cont_Par_2 L,1.57448418754266e-11
Cont_Par_2 R,1.49493485990597e-11
Cont_Par_3 L,1.31129292631058e-11
Cont_Par_3 R,9.83495188130341e-12
Cont_Par_4 L,7.41180001478821e-12
Cont_Par_4 R,7.08167957960692e-12
Cont_Par_5 L,5.79263216279112e-12
Cont_Par_5 R,9.42513655250124e-12
Cont_Par_6 L,2.71242696736931e-12
Cont_Par_6 R,4.50924175336521e-12
Cont_Par_7 L,9.30629358004472e-12
Cont_Par_7 R,8.11554358510528e-12
Cont_Par_8 L,5.37396654298598e-12
Cont_Par_8 R,1.92025338357331e-12
Cont_Par_9 L,1.44524403006909e-12
Cont_Par_9 R,2.16104598131374e-12
Cont_Temp_1 L,1.12382778950933e-11
Cont_Temp_1 R,2.64134955189069e-11
Cont_Temp_2 R,1.90066240361443e-11
Cont_pCun_1 L,1.88357811220607e-11
Cont_pCun_1 R,7.12976727933617e-12
Cont_pCun_2 L,8.67603967504343e-12
Cont_pCun_2 R,4.95339861518931e-12
Default_PFC_1 L,1.02690827727771e-12
Default_PFC_10 L,4.00768417173218e-11
Default_PFC_11 L,1.33529642248677e-11
Default_PFC_12 L,1.80675653116114e-11
Default_PFC_13 L,3.5585756175833e-11
