region,value
Cont_Cing_1 L,1.78427937290353e-12
Cont_Cing_1 R,9.47209346926666e-13
Cont_Cing_2 L,5.43669533842384e-13
Cont_Cing_2 R,8.08199850817711e-13
Cont_Cing_3 L,1.89315830614462e-12
Cont_Cing_3 R,3.74412833444131e-13
Cont_Cing_4 L,5.29101360447436e-13
Cont_Cing_4 R,1.10630734408392e-12
Cont_OFC_1 L,4.72454321621152e-11
Cont_PFCd_1 L,1.08921368095366e-12
Cont_PFCd_2 L,2.47369608998261e-12
Cont_PFCl_1 L,6.33476446181343e-11
Cont_PFCl_1 R,2.93834527590886e-11
Cont_PFCl_10 L,2.66935890477873e-12
Cont_PFCl_10 R,5.19564405002625e-12
Cont_PFCl_11 L,9.2960946072892e-12
Cont_PFCl_11 R,1.77183023624801e-11
Cont_PFCl_12 L,5.99435816741155e-12
Cont_PFCl_12 R,5.15221733621136e-12
Cont_PFCl_13 L,2.38077111602728e-12
Cont_PFCl_13 R,6.31551813095124e-12
Cont_PFCl_14 R,2.7098520729394e-12
Cont_PFCl_15 R,1.33556726911889e-11
Cont_PFCl_16 R,2.037673023413e-12
Cont_PFCl_17 R,7.01441015464559e-12
Cont_PFCl_18 R,3.40570196254589e-12
Cont_PFCl_19 R,4.11263434952345e-12
Cont_PFCl_2 L,4.22292182077182e-11
Cont_PFCl_2 R,4.31990318703375e-11
Cont_PFCl_20 R,3.44263498763016e-12
Cont_PFCl_21 R,9.13795874757454e-12
Cont_PFCl_22 R,1.54420539364191e-12
Cont_PFCl_23 R,1.13964415966585e-12
Cont_PFCl_24 R,1.38241448446253e-12
Cont_PFCl_25 R,1.46661770724394e-12
Cont_PFCl_3 L,1.72325310926956e-11
Cont_PFCl_3 R,8.96953570592216e-11
Cont_PFCl_4 L,1.38631237495705e-11
Cont_PFCl_4 R,3.36105022453607e-11
Cont_PFCl_5 L,2.12218633417665e-11
Cont_PFCl_5 R,1.58061583011158e-11
Cont_PFCl_6 L,4.88571593190565e-12
Cont_PFCl_6 R,3.3465946478347e-11
Cont_PFCl_7 L,6.75076259204495e-12
Cont_PFCl_7 R,1.6409565981224e-11
Cont_PFCl_8 L,2.55149999780254e-11
Cont_PFCl_8 R,2.63031127757064e-11
Cont_PFCl_9 L,1.51107444674719e-11
Cont_PFCl_9 R,1.66027447153693e-11
Cont_PFCmp_1 L,1.56883477558608e-12
Cont_PFCmp_1 R,2.83745941047742e-12
Cont_PFCmp_2 L,5.67827950775248e-13
Cont_PFCmp_2 R,1.91132885503142e-12
Cont_PFCmp_3 R,1.97451410487301e-12
Cont_PFCv_1 L,6.78898282165766e-13
Cont_PFCv_1 R,3.51048404090592e-12
Cont_PFCv_2 L,4.13052816681757e-12
Cont_Par_1 L,1.60027901931343e-12
Cont_Par_1 R,2.19400949583507e-12
Cont_Par_2 L,8.55599333324183e-12
Cont_Par_2 R,6.74847082935388e-12
Cont_Par_3 L,5.08434060098814e-12
Cont_Par_3 R,3.84050038243968e-12
Cont_Par_4 L,2.259096677506e-12
Cont_Par_4 R,2.37040995292648e-12
Cont_Par_5 L,1.89996191616599e-12
Cont_Par_5 R,4.14860132098731e-12
Cont_Par_6 L,8.58291283135849e-13
Cont_Par_6 R,6.93302604749444e-13
Cont_Par_7 L,3.92157620271625e-12
Cont_Par_7 R,4.80385218137692e-12
Cont_Par_8 L,1.44260066726554e-12
Cont_Par_8 R,9.66937706973546e-13
Cont_Par_9 L,1.30852499804105e-12
Cont_Par_9 R,9.17802707735439e-13
Cont_Temp_1 L,3.12147345598146e-12
Cont_Temp_1 R,4.30614105619721e-12
Cont_Temp_2 R,5.91802409169507e-12
Cont_pCun_1 L,4.43985959020675e-12
Cont_pCun_1 R,2.78933408596447e-12
Cont_pCun_2 L,1.39480445908362e-12
Cont_pCun_2 R,2.26590073187039e-12
Default_PFC_1 L,1.71106070802115e-12
Default_PFC_10 L,5.42183751473265e-12
Default_PFC_11 L,9.08642153013799e-12
Default_PFC_12 L,2.81155088755466e-11
Default_PFC_13 L,1.16978387637703e-11
Default_PFC_14 L,8.62035356002971e-12
Default_PFC_15 L,3.05226114067458e-12
Default_PFC_16 L,5.1594800018476e-12
Default_PFC_17 L,1.39511002002888e-12
Default_PFC_18 L,6.00090633804786e-12
Default_PFC_19 L,2.95102947496251e-12
Default_PFC_2 L,1.73643407952184e-11
Default_PFC_20 L,4.6831698024255e-12
Default_PFC_21 L,3.47267449750841e-12
Default_PFC_22 L,2.05958932996203e-12
Default_PFC_23 L,1.37946532574504e-11
Default_PFC_24 L,8.07641263518239e-12
Default_PFC_25 L,2.52481985020424e-12
Default_PFC_26 L,1.72513752093516e-12
Default_PFC_27 L,2.9809467063446e-12
Default_PFC_28 L,2.92014947901459e-12
Default_PFC_29 L,2.8561622586871e-12
Default_PFC_3 L,2.58647752158212e-11
Default_PFC_4 L,2.80995873726218e-11
Default_PFC_5 L,3.76874159726204e-11
Default_PFC_6 L,9.02348099127938e-12
Default_PFC_7 L,3.33947664344289e-11
Default_PFC_8 L,3.00478939995725e-11
Default_PFC_9 L,2.57788482616423e-11
Default_PFCdPFCm_1 R,3.84301713394422e-11
Default_PFCdPFCm_10 R,3.73343129799314e-12
Default_PFCdPFCm_11 R,3.78807146356702e-12
Default_PFCdPFCm_12 R,4.23061072242488e-12
Default_PFCdPFCm_13 R,2.66125735446993e-12
Default_PFCdPFCm_14 R,2.30844164444673e-12
Default_PFCdPFCm_15 R,3.89421171392731e-12
Default_PFCdPFCm_16 R,9.88650227854006e-13
Default_PFCdPFCm_17 R,2.3335017245433e-12
Default_PFCdPFCm_18 R,3.13460318630017e-12
Default_PFCdPFCm_19 R,1.73534378909813e-12
Default_PFCdPFCm_2 R,2.11988766731954e-11
Default_PFCdPFCm_3 R,7.62619218383692e-13
Default_PFCdPFCm_4 R,1.83160734812519e-11
Default_PFCdPFCm_5 R,3.66341826172128e-12
Default_PFCdPFCm_6 R,9.8989158484997e-12
Default_PFCdPFCm_7 R,8.49158044663687e-12
Default_PFCdPFCm_8 R,1.29592108252004e-11
Default_PFCdPFCm_9 R,3.92482718005175e-12
