region,value
Cont_Cing_1 L,1.29424788517316e-10
Cont_Cing_1 R,2.86929380582064e-10
Cont_Cing_2 L,1.24605909195763e-10
Cont_Cing_2 R,2.28802829766724e-10
Cont_Cing_3 L,2.46342850115061e-10
Cont_Cing_3 R,1.18928116595922e-10
Cont_Cing_4 L,1.3595114712385e-10
Cont_Cing_4 R,8.89749695349563e-11
Cont_OFC_1 L,1.05999800818759e-09
Cont_PFCd_1 L,1.4471309616714e-10
Cont_PFCd_2 L,3.86020949812105e-10
Cont_PFCl_1 L,1.99471308293372e-09
Cont_PFCl_1 R,8.75969108953513e-10
Cont_PFCl_10 L,2.89062888218473e-10
Cont_PFCl_10 R,2.36655261104467e-10
Cont_PFCl_11 L,1.18632538376138e-09
Cont_PFCl_11 R,9.43118124948685e-10
Cont_PFCl_12 L,6.32807871798161e-10
Cont_PFCl_12 R,8.51178455045175e-10
Cont_PFCl_13 L,2.77930247926534e-10
Cont_PFCl_13 R,5.54627881625382e-10
Cont_PFCl_14 R,2.41956982506085e-10
Cont_PFCl_15 R,6.99687861626381e-10
Cont_PFCl_16 R,2.42973776949415e-10
Cont_PFCl_17 R,1.16002277362503e-09
Cont_PFCl_18 R,3.14027251212444e-10
Cont_PFCl_19 R,3.07381889544942e-10
Cont_PFCl_2 L,4.06814959097355e-10
Cont_PFCl_2 R,1.24134838723715e-09
Cont_PFCl_20 R,8.23712798705821e-10
Cont_PFCl_21 R,5.16195420528126e-10
Cont_PFCl_22 R,5.38605993351668e-10
Cont_PFCl_23 R,1.81810133396656e-10
Cont_PFCl_24 R,2.21909662342344e-10
Cont_PFCl_25 R,3.42102908326582e-10
Cont_PFCl_3 L,8.64344059514541e-10
Cont_PFCl_3 R,1.9045925423436e-09
Cont_PFCl_4 L,1.04769506760537e-09
Cont_PFCl_4 R,4.84006705035371e-10
Cont_PFCl_5 L,1.1999735243637e-09
Cont_PFCl_5 R,7.53131855451699e-10
Cont_PFCl_6 L,3.64746569177221e-10
Cont_PFCl_6 R,8.80820910638107e-10
Cont_PFCl_7 L,6.24424720503019e-10
Cont_PFCl_7 R,5.51387896978783e-10
Cont_PFCl_8 L,1.47695770285229e-09
Cont_PFCl_8 R,1.07752447786529e-09
Cont_PFCl_9 L,6.86214441852972e-10
Cont_PFCl_9 R,5.94087410294581e-10
Cont_PFCmp_1 L,3.87052263579044e-10
Cont_PFCmp_1 R,5.86610054671755e-10
Cont_PFCmp_2 L,1.15809147057529e-10
Cont_PFCmp_2 R,3.8283714750419e-10
Cont_PFCmp_3 R,4.95024230504977e-10
Cont_PFCv_1 L,1.41114330894256e-10
Cont_PFCv_1 R,3.86801147509131e-10
Cont_PFCv_2 L,2.40166005303468e-10
Cont_Par_1 L,1.12050369331524e-10
Cont_Par_1 R,1.18834749701181e-09
Cont_Par_2 L,5.30189742556093e-10
Cont_Par_2 R,7.03765992766878e-10
Cont_Par_3 L,5.29339735960654e-10
Cont_Par_3 R,5.70781161828292e-10
Cont_Par_4 L,2.80354133965431e-10
Cont_Par_4 R,3.72363496538908e-10
Cont_Par_5 L,2.09654188516115e-10
Cont_Par_5 R,5.5997050028023e-10
Cont_Par_6 L,2.79329735979736e-10
Cont_Par_6 R,2.09322660414038e-10
Cont_Par_7 L,3.91130088915227e-10
Cont_Par_7 R,3.85058665107436e-10
Cont_Par_8 L,1.73631059632222e-10
Cont_Par_8 R,1.00669155991858e-10
Cont_Par_9 L,1.49311232942662e-10
Cont_Par_9 R,2.04715490433728e-10
Cont_Temp_1 L,1.20148558764605e-09
Cont_Temp_1 R,3.27370020468059e-09
