"subject","orientation","total_i","mean_i","n_vertices"
"sub-0002","constrained",2.0249448485e-06,1.3496932936746e-10,15003
"sub-0008","constrained",1.5180230639e-06,1.01181301333067e-10,15003
"sub-0009","constrained",1.1714797317e-06,7.80830321735653e-11,15003
"sub-0010","constrained",1.0051050152e-06,6.69980679376083e-11,15002
"sub-0012","constrained",1.0507159985e-06,7.00383947806959e-11,15002
"sub-0014","constrained",1.2645500757e-06,8.42864810837832e-11,15003
"sub-0015","constrained",1.3170390755e-06,8.77791972474007e-11,15004
"sub-0016","constrained",1.2385936947e-06,8.25398970211915e-11,15006
"sub-0018","constrained",1.3989428785e-06,9.32504251766431e-11,15002
"sub-0019","constrained",1.0847728665e-06,7.23085499600053e-11,15002
"sub-0020","constrained",9.472192903e-07,6.31353256215424e-11,15003
"sub-0021","constrained",1.8021953494e-06,1.201303392481e-10,15002
"sub-0022","constrained",2.7002117963e-06,1.79990121070524e-10,15002
"sub-0023","constrained",1.156546498e-06,7.70928208238902e-11,15002
"sub-0024","constrained",1.5298245483e-06,1.01954318447184e-10,15005
"sub-0025","constrained",1.1680278633e-06,7.78477648160491e-11,15004
"sub-0026","constrained",1.0716330071e-06,7.14326761165178e-11,15002
"sub-0028","constrained",1.2731947588e-06,8.48626780510565e-11,15003
"sub-0029","constrained",1.1807019477e-06,7.86924785190616e-11,15004
"sub-0030","constrained",1.105961234e-06,7.3720919477403e-11,15002
"sub-0031","constrained",1.1701427784e-06,7.79991186775097e-11,15002
"sub-0032","constrained",9.474133481e-07,6.31398432589137e-11,15005
"sub-0033","constrained",8.919064238e-07,5.94485385456242e-11,15003
"sub-0034","constrained",9.461043039e-07,6.30568051119701e-11,15004
"sub-0035","constrained",1.1462705865e-06,7.63620402704683e-11,15011
"sub-0036","constrained",1.5700210886e-06,1.04647143144704e-10,15003
"sub-0037","constrained",1.1733107147e-06,7.8184228340108e-11,15007
"sub-0039","constrained",1.0831846244e-06,7.21738155916844e-11,15008
"sub-0040","constrained",1.0662296145e-06,7.10724979669377e-11,15002
"sub-0041","constrained",1.0121599056e-06,6.74638342731454e-11,15003
"sub-0002","unconstrained",1.17616021729866e-06,7.83950021528136e-11,15003
"sub-0008","unconstrained",8.83638852760768e-07,5.88974773552468e-11,15003
"sub-0009","unconstrained",6.81975539157524e-07,4.54559447548839e-11,15003
"sub-0010","unconstrained",5.88912627638496e-07,3.92556077615315e-11,15002
"sub-0012","unconstrained",6.13773195702584e-07,4.09127580124373e-11,15002
"sub-0014","unconstrained",7.42782835768896e-07,4.95089539271409e-11,15003
"sub-0015","unconstrained",7.72174114215847e-07,5.14645504009496e-11,15004
"sub-0016","unconstrained",7.23480217206008e-07,4.82127293886451e-11,15006
"sub-0018","unconstrained",8.26113050706257e-07,5.50668611322662e-11,15002
"sub-0019","unconstrained",6.36068181151497e-07,4.23988922244699e-11,15002
"sub-0020","unconstrained",5.52633544743446e-07,3.68348693423613e-11,15003
"sub-0021","unconstrained",1.05472312442054e-06,7.03055008945832e-11,15002
"sub-0022","unconstrained",1.60817190338052e-06,1.07197167269732e-10,15002
"sub-0023","unconstrained",6.66488638741016e-07,4.44266523624194e-11,15002
"sub-0024","unconstrained",9.10319012876916e-07,6.0667711621254e-11,15005
"sub-0025","unconstrained",6.82564203023449e-07,4.54921489618401e-11,15004
"sub-0026","unconstrained",6.24568375446717e-07,4.16323407176855e-11,15002
"sub-0028","unconstrained",7.41567136708621e-07,4.94279235292022e-11,15003
"sub-0029","unconstrained",7.02808467262687e-07,4.68414067757056e-11,15004
"sub-0030","unconstrained",6.47763749148201e-07,4.31784928108386e-11,15002
"sub-0031","unconstrained",7.00407957723494e-07,4.66876388297223e-11,15002
"sub-0032","unconstrained",5.58876871665894e-07,3.72460427634717e-11,15005
"sub-0033","unconstrained",5.2356218409323e-07,3.48971661729807e-11,15003
"sub-0034","unconstrained",5.55757570920072e-07,3.70406272274108e-11,15004
"sub-0035","unconstrained",6.80608311899364e-07,4.53406376590076e-11,15011
"sub-0036","unconstrained",9.13259251273018e-07,6.08717757297219e-11,15003
"sub-0037","unconstrained",6.85651339800514e-07,4.56887678950166e-11,15007
"sub-0039","unconstrained",6.38590955102215e-07,4.25500369870879e-11,15008
"sub-0040","unconstrained",6.3430094145119e-07,4.22810919511525e-11,15002
"sub-0041","unconstrained",5.96373118891201e-07,3.97502578745052e-11,15003
