"subject","orientation","total_p","mean_p","n_vertices"
"sub-0002","constrained",4.99891108649147e-08,3.33194100279376e-12,15003
"sub-0008","constrained",2.84013260983615e-08,1.89304313126452e-12,15003
"sub-0009","constrained",1.71105540422479e-08,1.14047550771499e-12,15003
"sub-0010","constrained",1.07480948438192e-08,7.16444130370562e-13,15002
"sub-0012","constrained",1.00663884704813e-08,6.71003097619073e-13,15002
"sub-0014","constrained",2.00013449661623e-08,1.33315636647086e-12,15003
"sub-0015","constrained",2.19618487551373e-08,1.4637329215634e-12,15004
"sub-0016","constrained",1.73129248924031e-08,1.1537334994271e-12,15006
"sub-0018","constrained",1.91605242759062e-08,1.27719799199482e-12,15002
"sub-0019","constrained",1.20542689426545e-08,8.03510794737671e-13,15002
"sub-0020","constrained",9.50343826280200e-09,6.3343586368073e-13,15003
"sub-0021","constrained",5.18782063004157e-08,3.4580860085599e-12,15002
"sub-0022","constrained",1.30930118633457e-07,8.72751090744278e-12,15002
"sub-0023","constrained",1.60892691679657e-08,1.07247494787133e-12,15002
"sub-0024","constrained",3.42277144511237e-08,2.28108726765236e-12,15005
"sub-0025","constrained",1.29137159287798e-08,8.6068487928418e-13,15004
"sub-0026","constrained",1.32133648043567e-08,8.80773550483714e-13,15002
"sub-0028","constrained",2.20056141501502e-08,1.46674759382458e-12,15003
"sub-0029","constrained",1.70176236279738e-08,1.13420578698839e-12,15004
"sub-0030","constrained",1.19990914146893e-08,7.9983278327485e-13,15002
"sub-0031","constrained",1.42564435277289e-08,9.50302861467067e-13,15002
"sub-0032","constrained",1.00763370937681e-08,6.71531962263782e-13,15005
"sub-0033","constrained",8.69447094002487e-09,5.79515492903077e-13,15003
"sub-0034","constrained",1.00205100512663e-08,6.6785590850882e-13,15004
"sub-0035","constrained",1.70556312312932e-08,1.13620886225389e-12,15011
"sub-0036","constrained",3.5319283286522e-08,2.3541480561569e-12,15003
"sub-0037","constrained",1.40839691695071e-08,9.38493314420411e-13,15007
"sub-0039","constrained",1.2522275099694e-08,8.34373340864469e-13,15008
"sub-0040","constrained",1.22872859877825e-08,8.19043193426373e-13,15002
"sub-0041","constrained",1.12360506346024e-08,7.48920258255179e-13,15003
"sub-0002","unconstrained",1.4910307246055e-08,9.93821718726591e-13,15003
"sub-0008","unconstrained",8.82543682656045e-09,5.88244806142801e-13,15003
"sub-0009","unconstrained",5.369855667794e-09,3.57918794094115e-13,15003
"sub-0010","unconstrained",3.51784510179309e-09,2.3449174122071e-13,15002
"sub-0012","unconstrained",3.27859767147968e-09,2.18544038893459e-13,15002
"sub-0014","unconstrained",6.47267432052275e-09,4.31425336300923e-13,15003
"sub-0015","unconstrained",7.34953323567504e-09,4.89838258842645e-13,15004
"sub-0016","unconstrained",5.56765181459812e-09,3.71028376289359e-13,15006
"sub-0018","unconstrained",6.25040874479907e-09,4.16638364538e-13,15002
"sub-0019","unconstrained",3.92126499520371e-09,2.61382815304873e-13,15002
"sub-0020","unconstrained",3.05155539704784e-09,2.03396347200416e-13,15003
"sub-0021","unconstrained",1.58937799954971e-08,1.0594440738233e-12,15002
"sub-0022","unconstrained",4.17501622619778e-08,2.78297308772015e-12,15002
"sub-0023","unconstrained",5.10342981955336e-09,3.40183296863976e-13,15002
"sub-0024","unconstrained",1.14675828911017e-08,7.64250775814842e-13,15005
"sub-0025","unconstrained",4.23855524972359e-09,2.82495017976779e-13,15004
"sub-0026","unconstrained",4.24988817927552e-09,2.83288106870785e-13,15002
"sub-0028","unconstrained",6.50890476959221e-09,4.33840216596161e-13,15003
"sub-0029","unconstrained",5.46344194399552e-09,3.64132360970109e-13,15004
"sub-0030","unconstrained",3.89032106786802e-09,2.5932016183629e-13,15002
"sub-0031","unconstrained",4.67996276746214e-09,3.11955923707648e-13,15002
"sub-0032","unconstrained",3.27115187647463e-09,2.18004123723734e-13,15005
"sub-0033","unconstrained",2.83284254012404e-09,1.88818405660471e-13,15003
"sub-0034","unconstrained",3.23582687986526e-09,2.15664281515946e-13,15004
"sub-0035","unconstrained",5.31815904807769e-09,3.54284128177849e-13,15011
"sub-0036","unconstrained",1.08915172345858e-08,7.25955957780833e-13,15003
"sub-0037","unconstrained",4.62842082708385e-09,3.08417460324106e-13,15007
"sub-0039","unconstrained",4.10656130926513e-09,2.73624820713295e-13,15008
"sub-0040","unconstrained",3.97914546195557e-09,2.65240998663883e-13,15002
"sub-0041","unconstrained",3.64603426193051e-09,2.43020346726022e-13,15003
