"region","mean_p_excl","sub11_p","excess","ratio","is_frontal"
"Cont_PFCl_1 L",1.76561599398673e-10,1.75127155609845e-08,1.73361539615858e-08,99.1875675154089,TRUE
"Default_PFC_13 L",3.5585756175833e-11,1.06792306244682e-08,1.06436448682924e-08,300.098459948441,TRUE
"Cont_OFC_1 L",1.21361085399681e-10,9.28491019843087e-09,9.16354911303119e-09,76.5064861430063,TRUE
"Default_PFC_10 L",4.00768417173218e-11,7.40164391652837e-09,7.36156707481105e-09,184.686307587189,TRUE
"Default_PFC_7 L",7.65617395868680e-11,7.06485657058224e-09,6.98829483099537e-09,92.2765941409462,TRUE
"Cont_PFCl_3 L",2.60752246431679e-11,5.71045708306201e-09,5.68438185841884e-09,218.999343676153,TRUE
"Limbic_OFC_5 L",9.52098031031769e-11,5.40546088808883e-09,5.31025108498565e-09,56.7742050913711,TRUE
"Default_PFC_4 L",4.07517176775649e-11,4.16470819593903e-09,4.12395647826146e-09,102.197120349404,TRUE
"Cont_PFCl_4 L",1.75316187365637e-11,3.87814113439892e-09,3.86060951566236e-09,221.208388835808,TRUE
"Default_PFC_8 L",4.61062817906026e-11,3.40140521630696e-09,3.35529893451636e-09,73.7731407567164,TRUE
"Default_PFC_16 L",2.07010737457977e-11,3.36283972591762e-09,3.34213865217182e-09,162.447598960912,TRUE
"Default_PFC_18 L",9.3628608938603e-12,2.62144826734359e-09,2.61208540644973e-09,279.98368202422,TRUE
"Limbic_OFC_3 L",4.43728388305881e-11,2.42750574745631e-09,2.38313290862572e-09,54.7070192358963,TRUE
"Default_PFC_14 L",2.74283523856405e-11,2.17643512213512e-09,2.14900676974948e-09,79.3498308441796,TRUE
"SalVentAttn_PFCl_1 L",1.56445384517553e-11,2.09733997348974e-09,2.08169543503798e-09,134.062118863879,TRUE
"Limbic_OFC_8 L",2.29263285846104e-11,1.87456093522423e-09,1.85163460663962e-09,81.7645497972386,TRUE
"Limbic_OFC_7 R",4.16201087514363e-11,1.4305965344279e-09,1.38897642567646e-09,34.3727245637851,TRUE
"Default_PFC_2 L",2.17484094118437e-11,1.34997007026089e-09,1.32822166084905e-09,62.0721288024736,TRUE
"Default_PFC_3 L",3.4589856227385e-11,1.23350274229441e-09,1.19891288606703e-09,35.6608230512921,TRUE
"Limbic_OFC_9 R",2.47840637138e-11,1.19480886812575e-09,1.17002480441195e-09,48.2087555101171,TRUE
"Cont_PFCl_8 L",2.6145793349328e-11,1.14183625849441e-09,1.11569046514508e-09,43.6718918121396,TRUE
"Limbic_OFC_2 L",5.33854726630845e-11,1.04315587148267e-09,9.89770398819585e-10,19.5400699749541,TRUE
"Default_PFC_6 L",2.54800702362304e-11,6.53897346778125e-10,6.28417276541895e-10,25.6630904356119,TRUE
"Limbic_OFC_6 L",3.83842259714068e-11,6.42331960491869e-10,6.03947734520462e-10,16.7342689408497,TRUE
"Limbic_TempPole_1 L",8.58183414850313e-11,6.27070434592606e-10,5.41252093107575e-10,7.30695121510803,FALSE
"Cont_PFCl_5 L",2.30982919125858e-11,5.25715143244215e-10,5.02616851331629e-10,22.7599142496664,TRUE
"Limbic_OFC_7 L",4.98058441927516e-11,5.39780679671953e-10,4.89974835479201e-10,10.8376976320885,TRUE
"Default_PFCdPFCm_2 R",1.52449407421858e-11,4.89856260622919e-10,4.74611319880733e-10,32.1323820739683,TRUE
"Limbic_TempPole_9 L",8.22234506656377e-11,5.5607422023889e-10,4.73850769573252e-10,6.76296379849309,FALSE
"Limbic_TempPole_1 R",8.98469042036991e-11,5.48322731545249e-10,4.5847582734155e-10,6.1028561462964,FALSE
"Limbic_OFC_4 L",3.93535016990023e-11,4.8746968815671e-10,4.48116186457708e-10,12.386945687455,TRUE
"Default_PFC_11 L",1.33529642248677e-11,4.48563009537227e-10,4.35210045312359e-10,33.5927665186021,TRUE
"Limbic_TempPole_4 L",6.79342986824128e-11,5.01394496651717e-10,4.33460197969304e-10,7.38057956549599,FALSE
"Limbic_OFC_4 R",4.67663233472651e-11,4.55086500291823e-10,4.08320176944558e-10,9.73107286866579,TRUE
"Default_PFCdPFCm_5 R",1.30058048868644e-11,3.36248124198693e-10,3.23242319311829e-10,25.8536958783917,TRUE
"Default_PFCdPFCm_6 R",1.03869045450268e-11,3.27289593590779e-10,3.16902689045752e-10,31.5098297256889,TRUE
"Default_PFC_5 L",9.27356438353622e-11,3.81978930146209e-10,2.89243286310847e-10,4.11900876888668,TRUE
"Default_PFC_21 L",2.14453961650357e-11,2.94180786429642e-10,2.72735390264606e-10,13.7176662144983,TRUE
"Limbic_TempPole_5 L",1.8593794030283e-11,2.86116743785308e-10,2.67522949755025e-10,15.3877548239655,FALSE
"Cont_PFCl_5 R",5.33955030558596e-11,2.99486248858487e-10,2.46090745802627e-10,5.60882905336016,TRUE
"Limbic_TempPole_2 R",3.0462661431157e-11,2.65958666006298e-10,2.35496004575141e-10,8.73064445164588,FALSE
"Default_PFCdPFCm_1 R",2.88926615460987e-11,2.59764224449337e-10,2.30871562903238e-10,8.99066442995842,TRUE
"Limbic_OFC_8 R",2.38397903971072e-11,2.37387843075966e-10,2.13548052678859e-10,9.95763130135452,TRUE
"Default_Temp_3 L",1.92149949245471e-11,2.19485572584631e-10,2.00270577660084e-10,11.4226193369554,FALSE
"Limbic_TempPole_3 L",2.83841534219389e-11,2.2527138367456e-10,1.96887230252621e-10,7.93651937846565,FALSE
"Default_PFCdPFCm_8 R",2.98602878832429e-11,2.21559264360758e-10,1.91698976477515e-10,7.4198636405342,TRUE
"SalVentAttn_PFCl_2 L",6.53358010872421e-12,1.92079642749155e-10,1.85546062640431e-10,29.3988348734981,TRUE
"Limbic_TempPole_10 L",7.18638971769772e-12,1.86088359361436e-10,1.78901969643738e-10,25.894554382872,FALSE
"Cont_PFCl_2 L",3.93670403350061e-11,2.04058017730809e-10,1.64690977395803e-10,5.18347368748867,TRUE
