"subject","snr","total_i","mean_i","n_vertices"
"sub-0002",1,6.4772140774879e-07,4.31727926247277e-11,15003
"sub-0002",3,1.17616021729866e-06,7.83950021528136e-11,15003
"sub-0002",5,1.59841265741855e-06,1.06539535920719e-10,15003
"sub-0008",1,4.51864367909896e-07,3.0118267540485e-11,15003
"sub-0008",3,8.83638852760768e-07,5.88974773552468e-11,15003
"sub-0008",5,1.27136637744044e-06,8.47408103339623e-11,15003
"sub-0009",1,3.57495074780058e-07,2.38282393374697e-11,15003
"sub-0009",3,6.81975539157524e-07,4.54559447548839e-11,15003
"sub-0009",5,1.00260424487916e-06,6.68269176084223e-11,15003
"sub-0010",1,2.73123450464617e-07,1.82058025906291e-11,15002
"sub-0010",3,5.88912627638496e-07,3.92556077615315e-11,15002
"sub-0010",5,9.29151191902761e-07,6.19351547728811e-11,15002
"sub-0012",1,3.14745137944854e-07,2.09802118347456e-11,15002
"sub-0012",3,6.13773195702584e-07,4.09127580124373e-11,15002
"sub-0012",5,9.00248662117574e-07,6.00085763309941e-11,15002
"sub-0014",1,3.61191996174518e-07,2.40746514813383e-11,15003
"sub-0014",3,7.42782835768896e-07,4.95089539271409e-11,15003
"sub-0014",5,1.11758061387329e-06,7.44904761629871e-11,15003
"sub-0015",1,3.46835130687793e-07,2.3116177731791e-11,15004
"sub-0015",3,7.72174114215847e-07,5.14645504009496e-11,15004
"sub-0015",5,1.19152391389891e-06,7.94137505931027e-11,15004
"sub-0016",1,3.26712747648165e-07,2.17721409868163e-11,15006
"sub-0016",3,7.23480217206008e-07,4.82127293886451e-11,15006
"sub-0016",5,1.11978900362486e-06,7.46227511412011e-11,15006
"sub-0018",1,4.43642314782577e-07,2.95722113573241e-11,15002
"sub-0018",3,8.26113050706257e-07,5.50668611322662e-11,15002
"sub-0018",5,1.16594792811278e-06,7.77194992742819e-11,15002
"sub-0019",1,3.17053350773474e-07,2.11340721752749e-11,15002
"sub-0019",3,6.36068181151497e-07,4.23988922244699e-11,15002
"sub-0019",5,9.61879085366324e-07,6.41167234612934e-11,15002
"sub-0020",1,2.47592139605794e-07,1.65028420719719e-11,15003
"sub-0020",3,5.52633544743446e-07,3.68348693423613e-11,15003
"sub-0020",5,8.5708239200759e-07,5.71274006537086e-11,15003
"sub-0021",1,4.90288523006665e-07,3.26815439945784e-11,15002
"sub-0021",3,1.05472312442054e-06,7.03055008945832e-11,15002
"sub-0021",5,1.60196000380156e-06,1.06783095840658e-10,15002
"sub-0022",1,8.26769178516291e-07,5.51105971547987e-11,15002
"sub-0022",3,1.60817190338052e-06,1.07197167269732e-10,15002
"sub-0022",5,2.22208006404102e-06,1.48118921746502e-10,15002
"sub-0023",1,3.16971771371462e-07,2.11286342735277e-11,15002
"sub-0023",3,6.66488638741016e-07,4.44266523624194e-11,15002
"sub-0023",5,1.020885594048e-06,6.80499662743634e-11,15002
"sub-0024",1,4.54580110039805e-07,3.02952422552352e-11,15005
"sub-0024",3,9.10319012876916e-07,6.0667711621254e-11,15005
"sub-0024",5,1.3138577171175e-06,8.75613273653782e-11,15005
"sub-0025",1,3.4960311557251e-07,2.33006608619375e-11,15004
"sub-0025",3,6.82564203023449e-07,4.54921489618401e-11,15004
"sub-0025",5,1.02248039177338e-06,6.81471868683934e-11,15004
"sub-0026",1,2.89718061488471e-07,1.93119625042308e-11,15002
"sub-0026",3,6.24568375446717e-07,4.16323407176855e-11,15002
"sub-0026",5,9.73477186307875e-07,6.48898271102437e-11,15002
"sub-0028",1,3.57912992472213e-07,2.38560949458250e-11,15003
