"subject","snr","total_p","mean_p","n_vertices"
"sub-0002",1,4.02232194652134e-09,2.68101176199516e-13,15003
"sub-0002",3,1.4910307246055e-08,9.93821718726591e-13,15003
"sub-0002",5,2.76073489877643e-08,1.84012190813599e-12,15003
"sub-0008",1,2.09681610177072e-09,1.39759788160416e-13,15003
"sub-0008",3,8.82543682656045e-09,5.88244806142801e-13,15003
"sub-0008",5,1.88363123400632e-08,1.25550305539314e-12,15003
"sub-0009",1,1.37770424565148e-09,9.18285839933002e-14,15003
"sub-0009",3,5.369855667794e-09,3.57918794094115e-13,15003
"sub-0009",5,1.20150363599175e-08,8.00842255543389e-13,15003
"sub-0010",1,6.89789594971129e-10,4.59798423524283e-14,15002
"sub-0010",3,3.51784510179309e-09,2.3449174122071e-13,15002
"sub-0010",5,9.10973285001648e-09,6.07234558726602e-13,15002
"sub-0012",1,7.95930111753607e-10,5.30549334591126e-14,15002
"sub-0012",3,3.27859767147968e-09,2.18544038893459e-13,15002
"sub-0012",5,7.30569379349817e-09,4.86981322056937e-13,15002
"sub-0014",1,1.45487139753459e-09,9.69720320958868e-14,15003
"sub-0014",3,6.47267432052275e-09,4.31425336300923e-13,15003
"sub-0014",5,1.46138237968986e-08,9.74060107771683e-13,15003
"sub-0015",1,1.34400425300628e-09,8.95763964946869e-14,15004
"sub-0015",3,7.34953323567504e-09,4.89838258842645e-13,15004
"sub-0015",5,1.78052185551508e-08,1.18669811751205e-12,15004
"sub-0016",1,1.03843732973714e-09,6.92014747259192e-14,15006
"sub-0016",3,5.56765181459812e-09,3.71028376289359e-13,15006
"sub-0016",5,1.36156003580141e-08,9.07343753033058e-13,15006
"sub-0018",1,1.67605490557619e-09,1.11722097425423e-13,15002
"sub-0018",3,6.25040874479907e-09,4.16638364538e-13,15002
"sub-0018",5,1.27936272658537e-08,8.52794778419789e-13,15002
"sub-0019",1,8.96927224543399e-10,5.9787176679336e-14,15002
"sub-0019",3,3.92126499520371e-09,2.61382815304873e-13,15002
"sub-0019",5,9.29079041845055e-09,6.19303454102823e-13,15002
"sub-0020",1,5.50683396426511e-10,3.67048854513438e-14,15003
"sub-0020",3,3.05155539704784e-09,2.03396347200416e-13,15003
"sub-0020",5,7.63426525768792e-09,5.08849247329729e-13,15003
"sub-0021",1,2.80857155237011e-09,1.87213141739109e-13,15002
"sub-0021",3,1.58937799954971e-08,1.0594440738233e-12,15002
"sub-0021",5,3.95686913977912e-08,2.63756108504141e-12,15002
"sub-0022",1,8.64140399032331e-09,5.76016797115272e-13,15002
"sub-0022",3,4.17501622619778e-08,2.78297308772015e-12,15002
"sub-0022",5,8.38676546579425e-08,5.59043158631799e-12,15002
"sub-0023",1,1.06651443754481e-09,7.10914836385022e-14,15002
"sub-0023",3,5.10342981955336e-09,3.40183296863976e-13,15002
"sub-0023",5,1.22299449052413e-08,8.15220964220856e-13,15002
"sub-0024",1,2.60383384779581e-09,1.73531079493223e-13,15005
"sub-0024",3,1.14675828911017e-08,7.64250775814842e-13,15005
"sub-0024",5,2.30134196186577e-08,1.53371673566529e-12,15005
"sub-0025",1,1.03408333632467e-09,6.89205102855687e-14,15004
"sub-0025",3,4.23855524972359e-09,2.82495017976779e-13,15004
"sub-0025",5,9.89843441301587e-09,6.5971970228045e-13,15004
"sub-0026",1,8.4429890977171e-10,5.62790901060998e-14,15002
"sub-0026",3,4.24988817927552e-09,2.83288106870785e-13,15002
"sub-0026",5,1.04780995546097e-08,6.98446844061441e-13,15002
"sub-0028",1,1.30427860014792e-09,8.69345197725733e-14,15003
"sub-0028",3,6.50890476959221e-09,4.33840216596161e-13,15003
"sub-0028",5,1.46077206530977e-08,9.73653312877272e-13,15003
"sub-0029",1,1.20251775214155e-09,8.0146477748704e-14,15004
