region,cmro2,cmrglu
Vis_1 L,5320.5503,5921.811
Vis_2 L,5542.7764,6300.4727
Vis_3 L,4702.5137,5406.189
Vis_4 L,5486.4175,6606.513
Vis_5 L,5292.697,6080.3647
Vis_6 L,5701.976,6660.3647
Vis_7 L,5215.1084,6282.171
Vis_8 L,5940.5825,7223.382
Vis_9 L,5337.476,5921.7344
Vis_10 L,5019.5874,6149.5396
Vis_11 L,4486.765,4883.595
Vis_12 L,6043.306,6843.8384
Vis_13 L,6229.785,7344.842
Vis_14 L,4914.2617,6139.7153
Vis_15 L,5285.3257,6423.812
Vis_16 L,6062.771,7103.18
Vis_17 L,5006.7793,5570.5356
Vis_18 L,5074.46,6286.422
Vis_19 L,6627.519,7399.224
Vis_20 L,7023.866,7929.1646
Vis_21 L,5545.8857,6173.233
Vis_22 L,6534.9287,7574.3457
Vis_23 L,5294.74,6600.1562
Vis_24 L,5620.3804,6645.4795
Vis_25 L,4128.602,4814.3247
Vis_26 L,6302.447,7397.409
Vis_27 L,5124.7554,6431.444
Vis_28 L,6370.012,7249.135
Vis_29 L,5259.633,6334.02
Vis_30 L,5272.681,6743.0317
Vis_31 L,5410.0513,6266.9883
Vis_32 L,5090.212,6238.2007
Vis_33 L,6644.78,7572.3247
Vis_34 L,5661.254,6486.5156
Vis_35 L,5119.346,6363.718
Vis_36 L,5157.852,6445.7617
Vis_37 L,6461.2837,7532.6616
Vis_38 L,5512.645,6502.404
Vis_39 L,5775.4937,6996.459
Vis_40 L,5360.065,6715.314
Vis_41 L,5605.169,6804.2656
Vis_42 L,5247.2812,6421.846
Vis_43 L,5438.256,6904.2783
Vis_44 L,5678.8755,6868.672
Vis_45 L,5420.3667,6901.237
SomMot_1 L,4967.2603,5560.5103
SomMot_2 L,5535.911,6331.347
SomMot_3 L,5421.838,6452.4775
SomMot_4 L,5386.2373,6292.044
SomMot_5 L,5228.67,6187.1113
SomMot_6 L,5698.2783,7149.4204
SomMot_7 L,5037.1,5851.0356
SomMot_8 L,5290.096,6421.5464
SomMot_9 L,4977.505,5651.098
SomMot_10 L,5011.507,5935.511
SomMot_11 L,5423.559,6318.8105
SomMot_12 L,5290.3374,6351.502
SomMot_13 L,5094.667,6180.232
SomMot_14 L,5258.935,6104.267
SomMot_15 L,5072.734,6330.864
SomMot_16 L,5096.4844,6079.283
SomMot_17 L,5459.172,6373.9854
SomMot_18 L,5203.127,6062.2583
SomMot_19 L,5144.79,6412.41
SomMot_20 L,4763.3374,5626.829
SomMot_21 L,5503.551,6646.881
SomMot_22 L,5370.0957,6598.0547
SomMot_23 L,5030.643,5929.4414
SomMot_24 L,5668.2515,6785.7983
SomMot_25 L,5069.0176,6191.8633
SomMot_26 L,4966.262,5786.5376
SomMot_27 L,5217.81,6718.02
SomMot_28 L,5544.1973,6815.7964
SomMot_29 L,5591.348,6732.6963
SomMot_30 L,4976.6997,6226.136
SomMot_31 L,5472.96,6797.71
SomMot_32 L,5150.007,6184.136
SomMot_33 L,5163.633,6361.359
SomMot_34 L,5734.0317,7050.6733
SomMot_35 L,5029.7764,6418.867
SomMot_36 L,5305.5947,6336.3154
SomMot_37 L,5275.109,6725.9644
SomMot_38 L,5495.8013,6779.725
SomMot_39 L,5288.8765,6477.9927
SomMot_40 L,5471.618,6625.459
SomMot_41 L,5374.5186,6805.855
SomMot_42 L,5265.8574,6433.246
SomMot_43 L,5612.3433,6979.243
SomMot_44 L,5139.367,6249.0347
SomMot_45 L,5160.7954,6661.523
SomMot_46 L,5190.2227,6556.502
SomMot_47 L,5219.0693,6647.7236
SomMot_48 L,5160.958,6418.702
SomMot_49 L,5302.1045,6582.719
SomMot_50 L,5556.4316,6931.9976
SomMot_51 L,5352.153,6706.2783
SomMot_52 L,4937.741,6368.072
SomMot_53 L,4939.6,6173.455
SomMot_54 L,4914.8457,6367.581
SomMot_55 L,5074.208,6497.7715
SomMot_56 L,5303.1313,6877.327
DorsAttn_Post_1 L,4859.204,5885.12
DorsAttn_Post_2 L,5051.1147,6110.812
DorsAttn_Post_3 L,5126.338,6172.5503
DorsAttn_Post_4 L,5025.333,6139.0464
DorsAttn_Post_5 L,4975.1543,6040.843
DorsAttn_Post_6 L,5180.674,6265.872
DorsAttn_Post_7 L,5351.2983,6394.169
DorsAttn_Post_8 L,5278.02,6605.4443
DorsAttn_Post_9 L,5303.089,6917.848
DorsAttn_Post_10 L,5379.3745,7181.721
DorsAttn_Post_11 L,5063.3296,6143.499
DorsAttn_Post_12 L,5120.8696,6315.0835
DorsAttn_Post_13 L,5502.606,7282.3687
DorsAttn_Post_14 L,5079.417,6238.0645
DorsAttn_Post_15 L,5375.687,7096.5327
DorsAttn_Post_16 L,5462.3647,6876.3433
DorsAttn_Post_17 L,5404.54,7008.6616
DorsAttn_Post_18 L,5219.794,6373.881
DorsAttn_Post_19 L,5614.9927,7196.4688
DorsAttn_Post_20 L,5382.4595,6987.6646
DorsAttn_Post_21 L,5649.9014,7149.0986
DorsAttn_Post_22 L,5696.3535,7086.6826
DorsAttn_Post_23 L,5269.625,6517.111
DorsAttn_Post_24 L,5123.5493,6612.9136
DorsAttn_Post_25 L,5021.0283,6408.938
DorsAttn_Post_26 L,5314.421,6517.2124
DorsAttn_Post_27 L,4880.6357,6118.668
DorsAttn_Post_28 L,4950.3896,6251.123
DorsAttn_FEF_1 L,5498.414,7032.6084
DorsAttn_FEF_2 L,5191.703,6864.3457
DorsAttn_FEF_3 L,5298.5356,6766.4805
DorsAttn_FEF_4 L,5021.3174,6630.2305
DorsAttn_PrCv_1 L,5478.999,7148.7915
DorsAttn_PrCv_2 L,5183.132,6621.908
DorsAttn_PrCv_3 L,5405.0015,7166.7935
SalVentAttn_ParOper_1 L,5178.938,6258.533
SalVentAttn_ParOper_2 L,5195.734,6306.5967
SalVentAttn_ParOper_3 L,5328.8037,6390.6523
SalVentAttn_ParOper_4 L,5004.128,5910.8784
SalVentAttn_ParOper_5 L,4930.669,6099.3276
SalVentAttn_ParOper_6 L,4906.1616,5941.5015
SalVentAttn_TempOcc_1 L,5237.042,6313.6064
SalVentAttn_FrOperIns_1 L,4167.9873,4156.8105
SalVentAttn_FrOperIns_2 L,4202.1206,4796.2827
SalVentAttn_FrOperIns_3 L,4929.7563,5645.2744
SalVentAttn_FrOperIns_4 L,4884.892,6436.2075
SalVentAttn_FrOperIns_5 L,4731.0693,5483.2476
SalVentAttn_FrOperIns_6 L,5071.641,6309.9077
SalVentAttn_FrOperIns_7 L,5192.882,5942.775
SalVentAttn_FrOperIns_8 L,4933.367,5962.975
SalVentAttn_FrOperIns_9 L,5457.0464,6833.8037
SalVentAttn_FrOperIns_10 L,5352.448,6345.1104
SalVentAttn_FrOperIns_11 L,5344.814,6847.6743
SalVentAttn_PFCl_1 L,5294.705,6976.3354
SalVentAttn_PFCl_2 L,5288.2646,6783.488
SalVentAttn_Med_1 L,4930.0684,6271.683
SalVentAttn_Med_2 L,5119.179,6297.372
SalVentAttn_Med_3 L,5172.136,5909.6113
SalVentAttn_Med_4 L,5088.3213,6215.3066
SalVentAttn_Med_5 L,4952.67,6142.316
SalVentAttn_Med_6 L,4734.526,5773.0537
SalVentAttn_Med_7 L,5129.7656,6390.2285
SalVentAttn_Med_8 L,5025.1685,6247.504
SalVentAttn_Med_9 L,5010.988,6203.5044
SalVentAttn_Med_10 L,5634.6865,6765.6104
SalVentAttn_Med_11 L,5439.4297,7100.011
SalVentAttn_Med_12 L,5219.349,6266.7417
SalVentAttn_Med_13 L,4839.173,6654.1943
SalVentAttn_Med_14 L,5136.8486,6678.2417
Limbic_OFC_1 L,4938.7803,5905.3096
Limbic_OFC_2 L,4614.3896,5896.7705
Limbic_OFC_3 L,4967.8647,6498.8413
Limbic_OFC_4 L,4133.4004,5164.5815
Limbic_OFC_5 L,5102.363,6496.603
Limbic_OFC_6 L,5502.236,6872.112
Limbic_OFC_7 L,3826.3486,4657.2935
Limbic_OFC_8 L,4910.1133,6240.586
Limbic_TempPole_1 L,4119.635,4649.8345
Limbic_TempPole_2 L,4303.567,5187.631
Limbic_TempPole_3 L,3907.2583,4449.62
Limbic_TempPole_4 L,4301.7754,4997.5415
Limbic_TempPole_5 L,4353.3486,5114.4995
Limbic_TempPole_6 L,3546.3774,4101.2236
Limbic_TempPole_7 L,3957.695,4727.8027
Limbic_TempPole_8 L,4661.9346,5749.235
Limbic_TempPole_9 L,4126.4697,4711.012
Limbic_TempPole_10 L,4892.4434,5690.5464
Limbic_TempPole_11 L,4105.0293,4715.7344
Limbic_TempPole_12 L,4426.1743,5120.3657
Limbic_TempPole_13 L,3677.0083,4018.9287
Limbic_TempPole_14 L,4115.121,4474.0244
Cont_Par_1 L,5544.7544,7220.1123
Cont_Par_2 L,4904.079,6288.737
Cont_Par_3 L,5288.801,6969.923
Cont_Par_4 L,5125.165,6658.3433
Cont_Par_5 L,5629.268,7442.3657
Cont_Par_6 L,5629.2305,7385.3467
Cont_Par_7 L,5401.758,6925.6865
Cont_Par_8 L,5657.1226,7512.878
Cont_Par_9 L,5444.385,7107.5005
Cont_Temp_1 L,4788.475,6031.3276
Cont_PFCd_1 L,5241.669,7185.202
Cont_PFCd_2 L,5082.031,6886.915
Cont_OFC_1 L,4834.4673,6308.136
Cont_PFCl_1 L,5040.0273,6767.5596
Cont_PFCl_2 L,5193.7944,6943.26
Cont_PFCl_3 L,5359.109,7243.871
Cont_PFCl_4 L,5505.9004,7432.926
Cont_PFCl_5 L,5344.833,7230.071
Cont_PFCl_6 L,5460.9526,7149.044
Cont_PFCl_7 L,5473.114,7327.9126
