s17_name,s7_name
"Background+FreeSurfer_Defined_Medial_Wall L","Background+FreeSurfer_Defined_Medial_Wall L"
"Background+FreeSurfer_Defined_Medial_Wall R","Background+FreeSurfer_Defined_Medial_Wall R"
"ContA_Cingm_1 L","Cont_Cing_4 L"
"ContA_Cingm_1 R","Cont_Cing_3 R"
"ContA_IPS_1 L","Cont_Par_1 L"
"ContA_IPS_1 R","DorsAttn_Post_9 R"
"ContA_IPS_2 L","Cont_Par_2 L"
"ContA_IPS_2 R","Cont_Par_4 R"
"ContA_IPS_3 L","Cont_Par_7 L"
"ContA_IPS_3 R","DorsAttn_Post_11 R"
"ContA_IPS_4 L","Cont_Par_8 L"
"ContA_IPS_4 R","DorsAttn_Post_12 R"
"ContA_IPS_5 L","Cont_Par_9 L"
"ContA_IPS_5 R","Cont_Par_7 R"
"ContA_IPS_6 L","DorsAttn_Post_16 L"
"ContA_IPS_6 R","Cont_Par_8 R"
"ContA_IPS_7 R","DorsAttn_Post_13 R"
"ContA_IPS_8 R","Cont_Par_9 R"
"ContA_PFCd_1 L","Cont_PFCd_1 L"
"ContA_PFCd_1 R","DorsAttn_FEF_2 R"
"ContA_PFCd_2 L","Cont_PFCd_2 L"
"ContA_PFCd_2 R","Cont_PFCl_23 R"
"ContA_PFCl_1 L","Cont_PFCl_6 L"
"ContA_PFCl_1 R","Cont_PFCl_9 R"
"ContA_PFCl_2 L","Cont_PFCl_7 L"
"ContA_PFCl_2 R","Cont_PFCl_10 R"
"ContA_PFCl_3 L","DorsAttn_PrCv_1 L"
"ContA_PFCl_3 R","Cont_PFCl_11 R"
"ContA_PFCl_4 L","Cont_PFCl_9 L"
"ContA_PFCl_4 R","Cont_PFCl_14 R"
"ContA_PFCl_5 L","Cont_PFCl_10 L"
"ContA_PFCl_5 R","Cont_PFCl_15 R"
"ContA_PFCl_6 L","DorsAttn_PrCv_3 L"
"ContA_PFCl_6 R","DorsAttn_PrCv_1 R"
"ContA_PFCl_7 R","Cont_PFCl_16 R"
"ContA_PFClv_1 L","Cont_PFCl_3 L"
"ContA_PFClv_2 L","Cont_PFCl_5 L"
"ContA_Temp_1 L","DorsAttn_Post_2 L"
"ContA_Temp_2 L","DorsAttn_Post_5 L"
"ContB_IPL_1 L","Default_Par_12 L"
"ContB_IPL_1 R","Cont_Par_1 R"
"ContB_IPL_2 L","Cont_Par_3 L"
"ContB_IPL_2 R","Cont_Par_3 R"
"ContB_IPL_3 L","Cont_Par_4 L"
"ContB_IPL_3 R","Default_Par_8 R"
"ContB_IPL_4 L","Cont_Par_5 L"
"ContB_IPL_4 R","Cont_Par_5 R"
"ContB_IPL_5 L","Cont_Par_6 L"
"ContB_IPL_5 R","Cont_Par_6 R"
"ContB_PFCd_1 L","Default_PFC_26 L"
"ContB_PFCl_1 L","Cont_PFCl_12 L"
"ContB_PFCl_2 L","Cont_PFCl_13 L"
"ContB_PFCld_1 R","Cont_PFCl_17 R"
"ContB_PFCld_2 R","Cont_PFCl_18 R"
"ContB_PFCld_3 R","Cont_PFCl_19 R"
"ContB_PFCld_4 R","Cont_PFCl_20 R"
"ContB_PFCld_5 R","Cont_PFCl_21 R"
"ContB_PFCld_6 R","Cont_PFCl_22 R"
"ContB_PFCld_7 R","Default_PFCdPFCm_18 R"
"ContB_PFClv_1 L","Cont_PFCl_1 L"
"ContB_PFClv_1 R","Default_PFCv_2 R"
"ContB_PFClv_2 L","Default_PFC_8 L"
"ContB_PFClv_2 R","Cont_PFCl_2 R"
"ContB_PFClv_3 L","Cont_PFCl_4 L"
"ContB_PFClv_3 R","Cont_PFCl_3 R"
"ContB_PFClv_4 R","Cont_PFCl_4 R"
"ContB_PFClv_5 R","Cont_PFCl_5 R"
"ContB_PFClv_6 R","Cont_PFCl_8 R"
"ContB_PFCmp_1 L","Cont_PFCmp_1 L"
"ContB_PFCmp_1 R","Cont_PFCmp_2 R"
"ContB_Temp_1 L","Default_Temp_4 L"
"ContB_Temp_1 R","Cont_Temp_1 R"
"ContB_Temp_2 L","Cont_Temp_1 L"
"ContB_Temp_2 R","Default_Temp_5 R"
"ContB_Temp_3 R","Cont_Temp_2 R"
"ContC_Cingp_1 L","Cont_Cing_1 L"
"ContC_Cingp_1 R","Cont_Cing_1 R"
"ContC_Cingp_2 L","Cont_Cing_3 L"
"ContC_Cingp_2 R","Cont_Cing_2 R"
"ContC_Cingp_3 R","Cont_Cing_4 R"
"ContC_pCun_1 L","Default_pCunPCC_9 L"
"ContC_pCun_1 R","Vis_39 R"
"ContC_pCun_2 L","Cont_pCun_1 L"
"ContC_pCun_2 R","Cont_pCun_1 R"
"ContC_pCun_3 L","Default_pCunPCC_15 L"
"ContC_pCun_3 R","Default_pCunPCC_13 R"
"ContC_pCun_4 L","DorsAttn_Post_21 L"
"ContC_pCun_4 R","Default_pCunPCC_14 R"
"ContC_pCun_5 L","Cont_pCun_2 L"
"ContC_pCun_5 R","Cont_pCun_2 R"
"ContC_pCun_6 L","SalVentAttn_Med_10 L"
"ContC_pCun_6 R","DorsAttn_Post_24 R"
"DefaultA_IPL_1 L","Default_Par_5 L"
"DefaultA_IPL_1 R","Default_Par_2 R"
"DefaultA_IPL_2 L","Default_Par_9 L"
"DefaultA_IPL_2 R","Default_Par_4 R"
"DefaultA_IPL_3 L","Default_Par_11 L"
"DefaultA_IPL_3 R","Default_Par_5 R"
"DefaultA_IPL_4 L","Default_Par_13 L"
"DefaultA_IPL_4 R","Default_Par_7 R"
"DefaultA_PFCd_1 L","Default_PFC_20 L"
"DefaultA_PFCd_1 R","Default_PFCdPFCm_13 R"
"DefaultA_PFCd_2 L","Default_PFC_22 L"
"DefaultA_PFCd_2 R","Default_PFCdPFCm_15 R"
"DefaultA_PFCd_3 L","Default_PFC_27 L"
"DefaultA_PFCd_3 R","Default_PFCdPFCm_16 R"
"DefaultA_PFCm_1 L","Default_PFC_4 L"
"DefaultA_PFCm_1 R","Default_PFCdPFCm_2 R"
"DefaultA_PFCm_2 L","Default_PFC_6 L"
"DefaultA_PFCm_2 R","Default_PFCdPFCm_3 R"
"DefaultA_PFCm_3 L","Default_PFC_10 L"
"DefaultA_PFCm_3 R","Default_PFCdPFCm_4 R"
"DefaultA_PFCm_4 L","Default_PFC_11 L"
"DefaultA_PFCm_4 R","Default_PFCdPFCm_5 R"
"DefaultA_PFCm_5 L","Default_PFC_13 L"
"DefaultA_PFCm_5 R","Default_PFCdPFCm_6 R"
"DefaultA_PFCm_6 L","Default_PFC_14 L"
"DefaultA_PFCm_6 R","Default_PFCdPFCm_7 R"
"DefaultA_PFCm_7 L","Default_PFC_15 L"
"DefaultA_PFCm_7 R","Default_PFCdPFCm_8 R"
"DefaultA_PFCm_8 L","Default_PFC_17 L"
"DefaultA_PFCm_8 R","Default_PFCdPFCm_9 R"
"DefaultA_Temp_1 R","Default_Temp_4 R"
"DefaultA_pCunPCC_1 L","Default_pCunPCC_2 L"
"DefaultA_pCunPCC_1 R","Default_pCunPCC_2 R"
"DefaultA_pCunPCC_10 L","Default_pCunPCC_14 L"
"DefaultA_pCunPCC_10 R","Default_pCunPCC_12 R"
"DefaultA_pCunPCC_11 L","Default_pCunPCC_16 L"
"DefaultA_pCunPCC_12 L","Default_pCunPCC_17 L"
"DefaultA_pCunPCC_2 L","Default_pCunPCC_4 L"
"DefaultA_pCunPCC_2 R","Default_pCunPCC_4 R"
"DefaultA_pCunPCC_3 L","Default_pCunPCC_6 L"
"DefaultA_pCunPCC_3 R","Default_pCunPCC_5 R"
"DefaultA_pCunPCC_4 L","Default_pCunPCC_7 L"
"DefaultA_pCunPCC_4 R","Default_pCunPCC_6 R"
"DefaultA_pCunPCC_5 L","Default_pCunPCC_8 L"
"DefaultA_pCunPCC_5 R","Default_pCunPCC_7 R"
"DefaultA_pCunPCC_6 L","Default_pCunPCC_10 L"
"DefaultA_pCunPCC_6 R","Default_pCunPCC_8 R"
"DefaultA_pCunPCC_7 L","Default_pCunPCC_11 L"
"DefaultA_pCunPCC_7 R","Default_pCunPCC_9 R"
"DefaultA_pCunPCC_8 L","Default_pCunPCC_12 L"
"DefaultA_pCunPCC_8 R","Default_pCunPCC_10 R"
"DefaultA_pCunPCC_9 L","Default_pCunPCC_13 L"
"DefaultA_pCunPCC_9 R","Default_pCunPCC_11 R"
"DefaultB_AntTemp_1 R","Default_Temp_1 R"
"DefaultB_AntTemp_2 R","Default_Temp_2 R"
"DefaultB_AntTemp_3 R","Default_Temp_3 R"
"DefaultB_IPL_1 L","Default_Par_2 L"
"DefaultB_IPL_2 L","Default_Par_6 L"
"DefaultB_IPL_3 L","Default_Par_8 L"
"DefaultB_IPL_4 L","Default_Par_10 L"
"DefaultB_PFCd_1 L","Default_PFC_16 L"
"DefaultB_PFCd_1 R","Default_PFCdPFCm_10 R"
"DefaultB_PFCd_2 L","Default_PFC_18 L"
"DefaultB_PFCd_2 R","Default_PFCdPFCm_11 R"
"DefaultB_PFCd_3 L","Default_PFC_19 L"
"DefaultB_PFCd_3 R","Default_PFCdPFCm_12 R"
"DefaultB_PFCd_4 L","Default_PFC_21 L"
"DefaultB_PFCd_4 R","Default_PFCdPFCm_14 R"
"DefaultB_PFCd_5 L","Default_PFC_25 L"
"DefaultB_PFCd_5 R","Default_PFCdPFCm_17 R"
"DefaultB_PFCd_6 L","Default_PFC_28 L"
"DefaultB_PFCd_6 R","Default_PFCdPFCm_19 R"
"DefaultB_PFCd_7 L","Default_PFC_29 L"
"DefaultB_PFCl_1 L","Default_PFC_23 L"
"DefaultB_PFCl_2 L","Default_PFC_24 L"
"DefaultB_PFCv_1 L","Default_PFC_1 L"
"DefaultB_PFCv_1 R","Default_PFCv_1 R"
"DefaultB_PFCv_2 L","Default_PFC_2 L"
"DefaultB_PFCv_2 R","Default_PFCv_3 R"
"DefaultB_PFCv_3 L","Default_PFC_3 L"
"DefaultB_PFCv_3 R","Default_PFCv_4 R"
"DefaultB_PFCv_4 L","Default_PFC_5 L"
"DefaultB_PFCv_4 R","Default_PFCv_5 R"
"DefaultB_PFCv_5 L","Default_PFC_9 L"
"DefaultB_PFCv_5 R","Default_PFCv_6 R"
"DefaultB_PFCv_6 L","Cont_PFCl_2 L"
"DefaultB_PFCv_7 L","Default_PFC_12 L"
"DefaultB_Temp_1 L","Default_Temp_1 L"
"DefaultB_Temp_1 R","Default_Temp_7 R"
"DefaultB_Temp_2 L","Default_Temp_2 L"
"DefaultB_Temp_2 R","Default_Temp_10 R"
"DefaultB_Temp_3 L","Default_Temp_3 L"
"DefaultB_Temp_4 L","Default_Temp_5 L"
"DefaultB_Temp_5 L","Default_Temp_7 L"
"DefaultB_Temp_6 L","Default_Temp_8 L"
"DefaultB_Temp_7 L","Default_Temp_10 L"
"DefaultC_IPL_1 L","Default_Par_4 L"
"DefaultC_IPL_1 R","DorsAttn_Post_5 R"
"DefaultC_IPL_2 L","Default_Par_7 L"
"DefaultC_IPL_2 R","DorsAttn_Post_7 R"
