region,value
Cont_Cing_1 L,1.35766774348383e-05
Cont_Cing_1 R,1.25830026942389e-05
Cont_Cing_2 L,1.58768887624418e-05
Cont_Cing_2 R,1.49655466735758e-05
Cont_Cing_3 L,1.68504519447478e-05
Cont_Cing_3 R,1.7133895482468e-05
Cont_Cing_4 L,1.74641205904742e-05
Cont_Cing_4 R,1.61270893248195e-05
Cont_OFC_1 L,1.18592637520193e-05
Cont_PFCd_1 L,1.63511592307261e-05
Cont_PFCd_2 L,1.46854739185172e-05
Cont_PFCl_1 L,1.21702037137954e-05
Cont_PFCl_1 R,1.22492729856467e-05
Cont_PFCl_10 L,1.30076572730118e-05
Cont_PFCl_10 R,1.50031255434485e-05
Cont_PFCl_11 L,1.30844881811379e-05
Cont_PFCl_11 R,1.22100135389774e-05
Cont_PFCl_12 L,1.40166895957675e-05
Cont_PFCl_12 R,1.23616238998745e-05
Cont_PFCl_13 L,1.63366975155915e-05
Cont_PFCl_13 R,1.24598314484928e-05
Cont_PFCl_14 R,1.4704122614935e-05
Cont_PFCl_15 R,1.39799806751618e-05
Cont_PFCl_16 R,1.42732535251969e-05
Cont_PFCl_17 R,1.30474281411554e-05
Cont_PFCl_18 R,1.43080084694758e-05
Cont_PFCl_19 R,1.55140509074944e-05
Cont_PFCl_2 L,1.2795020385294e-05
Cont_PFCl_2 R,1.19559366375273e-05
Cont_PFCl_20 R,1.39658668196327e-05
Cont_PFCl_21 R,1.45985044638961e-05
Cont_PFCl_22 R,1.61724757665485e-05
Cont_PFCl_23 R,1.36608909557238e-05
Cont_PFCl_24 R,1.60571185131436e-05
Cont_PFCl_25 R,1.39706220734395e-05
Cont_PFCl_3 L,1.20873839909101e-05
Cont_PFCl_3 R,1.2467908240758e-05
Cont_PFCl_4 L,1.20875409895247e-05
Cont_PFCl_4 R,1.21573614691525e-05
Cont_PFCl_5 L,1.30972544977847e-05
Cont_PFCl_5 R,1.18991554929401e-05
Cont_PFCl_6 L,1.52006560649295e-05
Cont_PFCl_6 R,1.33334078336428e-05
Cont_PFCl_7 L,1.54365086483991e-05
Cont_PFCl_7 R,1.27450077681873e-05
Cont_PFCl_8 L,1.2332063833512e-05
Cont_PFCl_8 R,1.18685109516455e-05
Cont_PFCl_9 L,1.39319992318821e-05
Cont_PFCl_9 R,1.34342242179721e-05
Cont_PFCmp_1 L,1.35865423888574e-05
Cont_PFCmp_1 R,1.32517598233725e-05
Cont_PFCmp_2 L,1.3910472973122e-05
Cont_PFCmp_2 R,1.30126929926913e-05
Cont_PFCmp_3 R,1.30259501615417e-05
Cont_PFCv_1 L,1.66153288890974e-05
Cont_PFCv_1 R,1.53638682240795e-05
Cont_PFCv_2 L,1.33877296169189e-05
Cont_Par_1 L,1.4864854195783e-05
Cont_Par_1 R,1.35012651157966e-05
Cont_Par_2 L,1.26004609539954e-05
Cont_Par_2 R,1.30733583987473e-05
Cont_Par_3 L,1.26113347684361e-05
Cont_Par_3 R,1.27872573257142e-05
Cont_Par_4 L,1.21482224322092e-05
Cont_Par_4 R,1.33688884974932e-05
Cont_Par_5 L,1.57211233928869e-05
Cont_Par_5 R,1.39090271342969e-05
Cont_Par_6 L,1.55066863464727e-05
Cont_Par_6 R,1.51115842773954e-05
Cont_Par_7 L,1.53544949813127e-05
Cont_Par_7 R,1.38187939955822e-05
Cont_Par_8 L,1.28544978814737e-05
Cont_Par_8 R,1.58599578501928e-05
Cont_Par_9 L,1.24821958960337e-05
Cont_Par_9 R,1.38239339045961e-05
Cont_Temp_1 L,1.43265381894867e-05
Cont_Temp_1 R,1.4171077209055e-05
Cont_Temp_2 R,1.41239980666095e-05
Cont_pCun_1 L,1.36948503809667e-05
Cont_pCun_1 R,1.38093943288206e-05
Cont_pCun_2 L,1.34630500307922e-05
Cont_pCun_2 R,1.32860563458904e-05
Default_PFC_1 L,1.6100646886134e-05
Default_PFC_10 L,1.07597836092189e-05
Default_PFC_11 L,1.33255839835615e-05
Default_PFC_12 L,1.36657059216098e-05
Default_PFC_13 L,1.13379117272088e-05
Default_PFC_14 L,1.17004926901039e-05
Default_PFC_15 L,1.39681671012854e-05
Default_PFC_16 L,1.17185864397094e-05
Default_PFC_17 L,1.30503196353573e-05
Default_PFC_18 L,1.30329436543095e-05
Default_PFC_19 L,1.23702821100328e-05
Default_PFC_2 L,1.30572911759914e-05
Default_PFC_20 L,1.31394959326469e-05
Default_PFC_21 L,1.24184856690554e-05
Default_PFC_22 L,1.33408933561748e-05
Default_PFC_23 L,1.41880104466948e-05
Default_PFC_24 L,1.44634103034633e-05
Default_PFC_25 L,1.368439498959e-05
Default_PFC_26 L,1.51477857792737e-05
Default_PFC_27 L,1.38074914749237e-05
Default_PFC_28 L,1.30003012757981e-05
Default_PFC_29 L,1.38752876242318e-05
Default_PFC_3 L,1.38751198859531e-05
Default_PFC_4 L,1.27113997680468e-05
Default_PFC_5 L,1.37533883791204e-05
Default_PFC_6 L,1.56406792921397e-05
Default_PFC_7 L,1.21517790438266e-05
Default_PFC_8 L,1.17250829779e-05
Default_PFC_9 L,1.48556032482006e-05
Default_PFCdPFCm_1 R,1.49145583436647e-05
Default_PFCdPFCm_10 R,1.18615139168299e-05
Default_PFCdPFCm_11 R,1.25464717764868e-05
Default_PFCdPFCm_12 R,1.20365399596152e-05
Default_PFCdPFCm_13 R,1.28627513480694e-05
Default_PFCdPFCm_14 R,1.26750498653484e-05
Default_PFCdPFCm_15 R,1.39021605976086e-05
Default_PFCdPFCm_16 R,1.45941620290793e-05
Default_PFCdPFCm_17 R,1.29779252568805e-05
Default_PFCdPFCm_18 R,1.44319422496241e-05
Default_PFCdPFCm_19 R,1.3199850112724e-05
Default_PFCdPFCm_2 R,1.42901273208731e-05
Default_PFCdPFCm_3 R,1.27375453496047e-05
Default_PFCdPFCm_4 R,1.39012306688506e-05
Default_PFCdPFCm_5 R,1.11889382349603e-05
Default_PFCdPFCm_6 R,1.1899836039821e-05
Default_PFCdPFCm_7 R,1.25745091132275e-05
Default_PFCdPFCm_8 R,1.10444121081499e-05
Default_PFCdPFCm_9 R,1.5416691566603e-05
Default_PFCv_1 R,1.37669644510925e-05
Default_PFCv_2 R,1.305519813308e-05
Default_PFCv_3 R,1.3774854596616e-05
Default_PFCv_4 R,1.35957736515771e-05
Default_PFCv_5 R,1.39351421160524e-05
Default_PFCv_6 R,1.29057556056314e-05
Default_PHC_1 L,1.84765749162689e-05
Default_Par_1 L,1.42786315236192e-05
Default_Par_1 R,1.59709275853578e-05
Default_Par_10 L,1.44443068891226e-05
Default_Par_11 L,1.27990600808291e-05
Default_Par_12 L,1.41109263341871e-05
Default_Par_13 L,1.31746090935546e-05
Default_Par_2 L,1.38046322048275e-05
Default_Par_2 R,1.38696456458304e-05
Default_Par_3 L,1.51656686999022e-05
Default_Par_3 R,1.50113772847626e-05
Default_Par_4 L,1.30238869455503e-05
Default_Par_4 R,1.38751913657168e-05
Default_Par_5 L,1.4420602449071e-05
Default_Par_5 R,1.37386822360484e-05
Default_Par_6 L,1.41048386317929e-05
Default_Par_6 R,1.2409897799498e-05
Default_Par_7 L,1.22950520638931e-05
Default_Par_7 R,1.31430226283663e-05
Default_Par_8 L,1.3409821693059e-05
Default_Par_8 R,1.27168426347336e-05
Default_Par_9 L,1.36067541430119e-05
Default_Temp_1 L,1.49055802415975e-05
Default_Temp_1 R,1.48194501943571e-05
Default_Temp_10 L,1.64498292729995e-05
Default_Temp_10 R,1.43068170261785e-05
Default_Temp_11 L,1.43646691179919e-05
Default_Temp_11 R,1.53432874377526e-05
Default_Temp_12 L,1.61448590676156e-05
Default_Temp_2 L,1.37394465526186e-05
Default_Temp_2 R,1.4561662526543e-05
Default_Temp_3 L,1.58662705514097e-05
Default_Temp_3 R,1.48879833104699e-05
