region,value
Cont_Cing_1 L,2.66256682776021e-08
Cont_Cing_1 R,2.41820105269981e-08
Cont_Cing_2 L,4.2667931991392e-08
Cont_Cing_2 R,2.97175543793104e-08
Cont_Cing_3 L,3.20513036407581e-08
Cont_Cing_3 R,3.46288606071879e-08
Cont_Cing_4 L,3.81228611536608e-08
Cont_Cing_4 R,3.01095050729391e-08
Cont_OFC_1 L,3.46868264336096e-08
Cont_PFCd_1 L,4.7480010315469e-08
Cont_PFCd_2 L,4.21921749368143e-08
Cont_PFCl_1 L,3.43696977131784e-08
Cont_PFCl_1 R,3.62805481430272e-08
Cont_PFCl_10 L,3.55311799154234e-08
Cont_PFCl_10 R,4.22049522286555e-08
Cont_PFCl_11 L,3.76539267804569e-08
Cont_PFCl_11 R,3.31121863302599e-08
Cont_PFCl_12 L,3.89559570774275e-08
Cont_PFCl_12 R,3.4072955478169e-08
Cont_PFCl_13 L,4.63593067375552e-08
Cont_PFCl_13 R,3.40454345931358e-08
Cont_PFCl_14 R,3.9837400798019e-08
Cont_PFCl_15 R,3.85782047396239e-08
Cont_PFCl_16 R,3.96555437463861e-08
Cont_PFCl_17 R,3.69835517665761e-08
Cont_PFCl_18 R,3.90097754654544e-08
Cont_PFCl_19 R,4.36828280543001e-08
Cont_PFCl_2 L,3.57288115081078e-08
Cont_PFCl_2 R,3.38528889775063e-08
Cont_PFCl_20 R,4.14111481132101e-08
Cont_PFCl_21 R,4.33169469582292e-08
Cont_PFCl_22 R,4.76715661640736e-08
Cont_PFCl_23 R,3.77299260400487e-08
Cont_PFCl_24 R,4.79542675955241e-08
Cont_PFCl_25 R,4.3227421180694e-08
Cont_PFCl_3 L,3.28708761879109e-08
Cont_PFCl_3 R,3.47530634838324e-08
Cont_PFCl_4 L,3.23407584501765e-08
Cont_PFCl_4 R,3.17905341064389e-08
Cont_PFCl_5 L,3.48085987778308e-08
Cont_PFCl_5 R,3.0740655610799e-08
Cont_PFCl_6 L,4.51335991260045e-08
Cont_PFCl_6 R,3.61446677492697e-08
Cont_PFCl_7 L,4.25034667838268e-08
Cont_PFCl_7 R,3.49500182062916e-08
Cont_PFCl_8 L,3.53899670651196e-08
Cont_PFCl_8 R,3.05882935947324e-08
Cont_PFCl_9 L,3.73652342908314e-08
Cont_PFCl_9 R,3.54993296631273e-08
Cont_PFCmp_1 L,4.35080764038874e-08
Cont_PFCmp_1 R,4.21321934892221e-08
Cont_PFCmp_2 L,4.3131077641707e-08
Cont_PFCmp_2 R,4.12079837863708e-08
Cont_PFCmp_3 R,4.24634297274552e-08
Cont_PFCv_1 L,6.86079549084882e-08
Cont_PFCv_1 R,5.69842851364722e-08
Cont_PFCv_2 L,4.82819831045081e-08
Cont_Par_1 L,3.79329268120083e-08
Cont_Par_1 R,4.03978056091705e-08
Cont_Par_2 L,3.64564034011787e-08
Cont_Par_2 R,3.76763963056911e-08
Cont_Par_3 L,3.50250435462479e-08
Cont_Par_3 R,3.61246242734239e-08
Cont_Par_4 L,3.48823889299879e-08
Cont_Par_4 R,3.6396265139197e-08
Cont_Par_5 L,3.99601721162445e-08
Cont_Par_5 R,3.83449087225604e-08
Cont_Par_6 L,3.98525170235201e-08
Cont_Par_6 R,4.08493040821317e-08
Cont_Par_7 L,3.97501971596206e-08
Cont_Par_7 R,3.59076329498343e-08
Cont_Par_8 L,3.17722597077409e-08
Cont_Par_8 R,4.04060834114542e-08
Cont_Par_9 L,3.10372768247898e-08
Cont_Par_9 R,3.4631185047145e-08
Cont_Temp_1 L,4.35374719527419e-08
Cont_Temp_1 R,4.33975162557277e-08
Cont_Temp_2 R,4.40119578321174e-08
Cont_pCun_1 L,3.29464610461068e-08
Cont_pCun_1 R,3.33513957234024e-08
Cont_pCun_2 L,3.38055545201296e-08
Cont_pCun_2 R,3.45695113187387e-08
Default_PFC_1 L,6.0670718864045e-08
Default_PFC_10 L,2.95430187902551e-08
Default_PFC_11 L,4.1379020300755e-08
Default_PFC_12 L,3.98110683033877e-08
Default_PFC_13 L,3.03033397643873e-08
Default_PFC_14 L,3.42602334789791e-08
Default_PFC_15 L,4.62532690586595e-08
Default_PFC_16 L,3.22758578066739e-08
Default_PFC_17 L,4.26252867098452e-08
Default_PFC_18 L,3.61466970850538e-08
Default_PFC_19 L,3.90349709194592e-08
Default_PFC_2 L,3.74885541305041e-08
Default_PFC_20 L,3.7209246621568e-08
Default_PFC_21 L,3.61748086143784e-08
Default_PFC_22 L,3.82169034977635e-08
Default_PFC_23 L,4.20243097466233e-08
Default_PFC_24 L,4.182588820567e-08
Default_PFC_25 L,4.41744666800264e-08
Default_PFC_26 L,4.52359312189123e-08
Default_PFC_27 L,4.03863112667862e-08
Default_PFC_28 L,4.09155934647069e-08
Default_PFC_29 L,4.52942320530564e-08
Default_PFC_3 L,4.36291989260524e-08
Default_PFC_4 L,3.48119853642908e-08
Default_PFC_5 L,3.98744806205294e-08
Default_PFC_6 L,4.36602107979446e-08
Default_PFC_7 L,3.19186025718914e-08
Default_PFC_8 L,3.08750372240324e-08
Default_PFC_9 L,4.23629051587506e-08
Default_PFCdPFCm_1 R,4.40126423159672e-08
Default_PFCdPFCm_10 R,3.53823056337434e-08
Default_PFCdPFCm_11 R,3.89732813166175e-08
Default_PFCdPFCm_12 R,3.3241169719862e-08
Default_PFCdPFCm_13 R,3.62693422994468e-08
Default_PFCdPFCm_14 R,3.89567584149964e-08
Default_PFCdPFCm_15 R,3.98119427355001e-08
Default_PFCdPFCm_16 R,4.18278757146306e-08
Default_PFCdPFCm_17 R,3.96444137578695e-08
Default_PFCdPFCm_18 R,4.32783457424245e-08
Default_PFCdPFCm_19 R,4.19255031853583e-08
Default_PFCdPFCm_2 R,3.80251508766827e-08
Default_PFCdPFCm_3 R,3.47361827900351e-08
Default_PFCdPFCm_4 R,4.23714076743306e-08
Default_PFCdPFCm_5 R,3.06801499767412e-08
Default_PFCdPFCm_6 R,3.43332961716632e-08
Default_PFCdPFCm_7 R,3.93579485408174e-08
Default_PFCdPFCm_8 R,2.93923246634314e-08
Default_PFCdPFCm_9 R,4.98083268160705e-08
Default_PFCv_1 R,5.02506310036539e-08
Default_PFCv_2 R,3.81283497912569e-08
Default_PFCv_3 R,4.53547200989912e-08
Default_PFCv_4 R,4.0663412947787e-08
Default_PFCv_5 R,3.9854309224743e-08
Default_PFCv_6 R,3.76800163565143e-08
Default_PHC_1 L,4.83944946854153e-08
Default_Par_1 L,3.84593570275173e-08
Default_Par_1 R,4.52883169546738e-08
Default_Par_10 L,3.98429831562341e-08
Default_Par_11 L,3.52608945886901e-08
Default_Par_12 L,3.88508401465468e-08
Default_Par_13 L,3.67655140593336e-08
Default_Par_2 L,3.78538386959358e-08
Default_Par_2 R,4.0357559034184e-08
Default_Par_3 L,4.46717206472541e-08
Default_Par_3 R,4.18181749979268e-08
Default_Par_4 L,3.53276473485138e-08
Default_Par_4 R,3.88766874673544e-08
Default_Par_5 L,3.82793364421759e-08
Default_Par_5 R,3.85045000645659e-08
Default_Par_6 L,3.91852873655366e-08
Default_Par_6 R,3.54511976892235e-08
Default_Par_7 L,3.45080405009673e-08
Default_Par_7 R,3.71197137315509e-08
Default_Par_8 L,4.0003555359847e-08
Default_Par_8 R,3.66368888055606e-08
Default_Par_9 L,3.65254091546108e-08
Default_Temp_1 L,4.98354833354536e-08
