region,value
Cont_Cing_1 L,2.660692040439756e-12
Cont_Cing_1 R,2.8588202699195523e-12
Cont_Cing_2 L,1.976868663495619e-12
Cont_Cing_2 R,2.116319729828e-12
Cont_Cing_3 L,2.3584505787097437e-12
Cont_Cing_3 R,2.332643195024066e-12
Cont_Cing_4 L,1.2242808518324181e-12
Cont_Cing_4 R,1.119104005601928e-12
Cont_OFC_1 L,6.195897933565139e-10
Cont_PFCd_1 L,4.081409555229263e-12
Cont_PFCd_2 L,6.76411233890633e-12
Cont_PFCl_1 L,7.504449311387793e-10
Cont_PFCl_1 R,1.3207231034693053e-10
Cont_PFCl_10 L,3.2515773051116723e-12
Cont_PFCl_10 R,1.5117527335078794e-11
Cont_PFCl_11 L,2.4341673237336845e-11
Cont_PFCl_11 R,4.323804514375869e-11
Cont_PFCl_12 L,1.14635727303119e-11
Cont_PFCl_12 R,2.03296707357165e-11
Cont_PFCl_13 L,3.9282474688870974e-12
Cont_PFCl_13 R,4.3471531701173273e-11
Cont_PFCl_14 R,6.332001515780772e-12
Cont_PFCl_15 R,3.2209078497729304e-11
Cont_PFCl_16 R,5.254805134530328e-12
Cont_PFCl_17 R,2.3804557475398074e-11
Cont_PFCl_18 R,8.590343090042793e-12
Cont_PFCl_19 R,8.604588131057815e-12
Cont_PFCl_2 L,1.8188722506637905e-10
Cont_PFCl_2 R,3.738114970986207e-10
Cont_PFCl_20 R,1.3449186947810324e-11
Cont_PFCl_21 R,2.084602990081759e-11
Cont_PFCl_22 R,6.515660686119492e-12
Cont_PFCl_23 R,2.55982855022301e-12
Cont_PFCl_24 R,4.1625178575604796e-12
Cont_PFCl_25 R,5.880574332460269e-12
Cont_PFCl_3 L,8.695045947850466e-11
Cont_PFCl_3 R,5.889752017481679e-10
Cont_PFCl_4 L,5.1059472423348364e-11
Cont_PFCl_4 R,1.9279799101703662e-10
Cont_PFCl_5 L,4.2960344138467654e-11
Cont_PFCl_5 R,2.07819816598534e-10
Cont_PFCl_6 L,9.633253222827775e-12
Cont_PFCl_6 R,9.041219301641055e-11
Cont_PFCl_7 L,1.7506261286267112e-11
Cont_PFCl_7 R,1.4873859716619807e-10
Cont_PFCl_8 L,5.7551620131818296e-11
Cont_PFCl_8 R,9.454380526062355e-11
Cont_PFCl_9 L,2.414119864676973e-11
Cont_PFCl_9 R,2.8394520190626858e-11
Cont_PFCmp_1 L,1.0452073982877342e-11
Cont_PFCmp_1 R,1.1341455741993224e-11
Cont_PFCmp_2 L,1.0996146759027738e-12
Cont_PFCmp_2 R,1.0506784826005634e-11
Cont_PFCmp_3 R,5.979272071954772e-12
Cont_PFCv_1 L,4.3081694823613185e-12
Cont_PFCv_1 R,9.86541951174e-12
Cont_PFCv_2 L,1.1979769221013817e-11
Cont_Par_1 L,3.701909880551845e-12
Cont_Par_1 R,1.4943310207070927e-11
Cont_Par_2 L,2.22703443647117e-11
Cont_Par_2 R,2.048392670989505e-11
Cont_Par_3 L,1.5413512373631472e-11
Cont_Par_3 R,1.1952300844773013e-11
Cont_Par_4 L,8.731710997791569e-12
Cont_Par_4 R,8.78704513286381e-12
Cont_Par_5 L,4.424000119869247e-12
Cont_Par_5 R,1.0196834673465719e-11
Cont_Par_6 L,1.8693068908264774e-12
Cont_Par_6 R,8.518182530297842e-12
Cont_Par_7 L,7.994900430200966e-12
Cont_Par_7 R,1.0594361976527837e-11
Cont_Par_8 L,3.0213730388614676e-12
Cont_Par_8 R,2.4923394433119874e-12
Cont_Par_9 L,1.470635955360065e-12
Cont_Par_9 R,1.9169330043543548e-12
Cont_Temp_1 L,1.2063405915956776e-11
Cont_Temp_1 R,2.7085199339277e-11
Cont_Temp_2 R,2.6060039384711772e-11
Cont_pCun_1 L,1.1840981327789923e-11
Cont_pCun_1 R,7.492630788294976e-12
Cont_pCun_2 L,2.479760773275805e-12
Cont_pCun_2 R,7.183533612850087e-12
Default_PFC_1 L,4.269434872047927e-12
Default_PFC_10 L,1.8100595420076375e-10
Default_PFC_11 L,4.3527121897266976e-11
Default_PFC_12 L,4.249529004478633e-11
Default_PFC_13 L,1.545215502432938e-10
Default_PFC_14 L,1.0381435913629682e-10
Default_PFC_15 L,1.9929911927268998e-11
Default_PFC_16 L,6.307062305649371e-11
Default_PFC_17 L,8.594259108790412e-12
Default_PFC_18 L,1.9008848035709027e-11
Default_PFC_19 L,2.8546551112243886e-11
Default_PFC_2 L,6.196629243590722e-11
Default_PFC_20 L,1.155875155035919e-11
Default_PFC_21 L,3.6277172994636224e-11
Default_PFC_22 L,9.974072452488e-12
Default_PFC_23 L,3.674574119808655e-11
Default_PFC_24 L,1.4701987057312335e-11
Default_PFC_25 L,1.5757991139909196e-11
Default_PFC_26 L,7.74644423274168e-12
Default_PFC_27 L,1.4432741347354167e-11
Default_PFC_28 L,2.125794030049902e-11
Default_PFC_29 L,8.024764568874957e-12
Default_PFC_3 L,1.2826079482363352e-10
Default_PFC_4 L,1.9171921559364013e-10
Default_PFC_5 L,4.5641198561022027e-10
Default_PFC_6 L,9.132486906428247e-11
Default_PFC_7 L,3.389153807314303e-10
Default_PFC_8 L,1.8234746063367655e-10
Default_PFC_9 L,6.730701471459274e-11
Default_PFCdPFCm_1 R,1.2422042335756904e-10
Default_PFCdPFCm_10 R,1.6715875781734623e-11
Default_PFCdPFCm_11 R,1.2584183776062674e-11
Default_PFCdPFCm_12 R,1.9152980662504547e-11
Default_PFCdPFCm_13 R,8.85041276392741e-12
Default_PFCdPFCm_14 R,1.464403843094325e-11
Default_PFCdPFCm_15 R,1.2608470774749586e-11
Default_PFCdPFCm_16 R,4.25854151941104e-12
Default_PFCdPFCm_17 R,1.512920225131328e-11
Default_PFCdPFCm_18 R,1.4440856512743998e-11
Default_PFCdPFCm_19 R,6.904924737058374e-12
Default_PFCdPFCm_2 R,4.654569760972773e-11
Default_PFCdPFCm_3 R,1.73214927076515e-12
Default_PFCdPFCm_4 R,4.369308832255739e-11
Default_PFCdPFCm_5 R,4.2206333692743845e-11
Default_PFCdPFCm_6 R,2.191756902421439e-11
Default_PFCdPFCm_7 R,2.1605589803193603e-11
Default_PFCdPFCm_8 R,7.774617575697637e-11
Default_PFCdPFCm_9 R,1.0695136352971027e-11
Default_PFCv_1 R,1.9822270639771294e-11
Default_PFCv_2 R,1.0413976131512991e-10
Default_PFCv_3 R,5.998429110396413e-11
Default_PFCv_4 R,2.5595414435574034e-10
Default_PFCv_5 R,5.8109845770734823e-11
Default_PFCv_6 R,3.7049085839385015e-11
Default_PHC_1 L,1.0982345613379059e-11
Default_Par_1 L,9.897218031153562e-13
Default_Par_1 R,2.481115699467371e-12
Default_Par_10 L,6.97280626909389e-12
Default_Par_11 L,1.61276545039317e-11
Default_Par_12 L,1.205723419500003e-11
Default_Par_13 L,1.2486806334855509e-11
Default_Par_2 L,8.601108326621692e-13
Default_Par_2 R,3.5590640006158124e-12
Default_Par_3 L,8.19580441037126e-12
Default_Par_3 R,7.2676016354999015e-12
Default_Par_4 L,4.060714415058008e-12
Default_Par_4 R,3.964739527272477e-12
Default_Par_5 L,1.1847951713991667e-12
Default_Par_5 R,7.489652842279427e-12
Default_Par_6 L,4.266963487023024e-12
Default_Par_6 R,7.704655362698774e-12
Default_Par_7 L,1.7547106438177542e-11
Default_Par_7 R,1.1488580867790713e-11
Default_Par_8 L,1.2147163213163546e-11
Default_Par_8 R,1.79443799164914e-11
Default_Par_9 L,8.020691006293825e-12
Default_Temp_1 L,6.92770928851398e-11
