region,value
Cont_Cing_1 L,3.4072212184782494e-14
Cont_Cing_1 R,3.7892798817326166e-14
Cont_Cing_2 L,7.903267885484911e-14
Cont_Cing_2 R,3.969304685175375e-14
Cont_Cing_3 L,3.950229766282438e-14
Cont_Cing_3 R,4.4752527351214385e-14
Cont_Cing_4 L,3.163229801681805e-14
Cont_Cing_4 R,1.1027630317977413e-14
Cont_OFC_1 L,1.1276271948611805e-10
Cont_PFCd_1 L,2.793646782692585e-13
Cont_PFCd_2 L,4.703190411375683e-13
Cont_PFCl_1 L,1.577055546102605e-10
Cont_PFCl_1 R,4.572245294821598e-12
Cont_PFCl_10 L,9.775544226910989e-14
Cont_PFCl_10 R,2.0571616056588866e-12
Cont_PFCl_11 L,2.47449363088698e-12
Cont_PFCl_11 R,4.460744441573209e-12
Cont_PFCl_12 L,1.2959189378271713e-12
Cont_PFCl_12 R,1.12664649124485e-12
Cont_PFCl_13 L,3.773612769746034e-13
Cont_PFCl_13 R,5.299891378362158e-12
Cont_PFCl_14 R,3.6104254175892724e-13
Cont_PFCl_15 R,7.52273910379056e-12
Cont_PFCl_16 R,2.294742026844706e-13
Cont_PFCl_17 R,3.780097943416578e-12
Cont_PFCl_18 R,8.983316203298772e-13
Cont_PFCl_19 R,1.7596262868992228e-12
Cont_PFCl_2 L,1.8352920798296683e-11
Cont_PFCl_2 R,6.844966137178864e-11
Cont_PFCl_20 R,2.692583524622436e-12
Cont_PFCl_21 R,2.771252260081747e-12
Cont_PFCl_22 R,1.0191801882169655e-12
Cont_PFCl_23 R,1.3167535089552262e-13
Cont_PFCl_24 R,4.5178567255394667e-13
Cont_PFCl_25 R,4.505252374690892e-13
Cont_PFCl_3 L,8.533703473348813e-12
Cont_PFCl_3 R,1.51602626501756e-10
Cont_PFCl_4 L,2.7599734080097017e-12
Cont_PFCl_4 R,2.9587155613976636e-11
Cont_PFCl_5 L,2.9377539006683287e-12
Cont_PFCl_5 R,3.29382165981335e-11
Cont_PFCl_6 L,7.18031118945111e-13
Cont_PFCl_6 R,8.762074072585198e-12
Cont_PFCl_7 L,3.976525784060092e-12
Cont_PFCl_7 R,2.227250045069141e-11
Cont_PFCl_8 L,6.839317516675886e-12
Cont_PFCl_8 R,7.464015363333501e-12
Cont_PFCl_9 L,3.8074456710547175e-12
Cont_PFCl_9 R,4.112844694560911e-12
Cont_PFCmp_1 L,3.2702498342560356e-13
Cont_PFCmp_1 R,3.5440313501162936e-13
Cont_PFCmp_2 L,3.9923003322699353e-14
Cont_PFCmp_2 R,7.931584480871614e-13
Cont_PFCmp_3 R,1.7880746964046692e-13
Cont_PFCv_1 L,1.9370073273920484e-13
Cont_PFCv_1 R,4.281548662141469e-13
Cont_PFCv_2 L,3.084642075310206e-13
Cont_Par_1 L,2.460986315436347e-13
Cont_Par_1 R,2.616920389427825e-12
Cont_Par_2 L,4.419475604581963e-12
Cont_Par_2 R,3.853122640985774e-12
Cont_Par_3 L,2.1594527354413123e-12
Cont_Par_3 R,2.1170807789513717e-12
Cont_Par_4 L,2.2162194917796408e-12
Cont_Par_4 R,8.168037313957109e-13
Cont_Par_5 L,2.424948984332818e-13
Cont_Par_5 R,2.1468190579344746e-12
Cont_Par_6 L,5.709856612261858e-14
Cont_Par_6 R,7.311780837411899e-13
Cont_Par_7 L,7.168943110976367e-13
Cont_Par_7 R,1.8602229598768572e-12
Cont_Par_8 L,5.811531789169303e-14
Cont_Par_8 R,8.279180579575045e-14
Cont_Par_9 L,3.9688568014138266e-14
Cont_Par_9 R,4.8785326870531134e-14
Cont_Temp_1 L,1.5561674023710643e-12
Cont_Temp_1 R,3.4150660324030787e-12
Cont_Temp_2 R,4.352924335662911e-12
Cont_pCun_1 L,5.04084243559886e-13
Cont_pCun_1 R,4.818623615375269e-13
Cont_pCun_2 L,5.6762873353901666e-14
Cont_pCun_2 R,2.601683874195434e-13
Default_PFC_1 L,1.7536126884613382e-13
Default_PFC_10 L,3.99075514481175e-11
Default_PFC_11 L,1.3669452016555935e-12
Default_PFC_12 L,5.0241313241356806e-12
Default_PFC_13 L,2.4805463933780468e-11
Default_PFC_14 L,8.675970725914478e-12
Default_PFC_15 L,6.429691579571412e-13
Default_PFC_16 L,6.574435963000845e-12
Default_PFC_17 L,4.780306344197668e-13
Default_PFC_18 L,1.5935442364036053e-12
Default_PFC_19 L,3.644268016241794e-12
Default_PFC_2 L,4.799804656840777e-12
Default_PFC_20 L,1.1302143975820117e-12
Default_PFC_21 L,5.81452476940834e-12
Default_PFC_22 L,8.303578980362141e-13
Default_PFC_23 L,5.8516076897886325e-12
Default_PFC_24 L,2.2205995187668445e-12
Default_PFC_25 L,2.6519089925081157e-12
Default_PFC_26 L,9.476584991318208e-13
Default_PFC_27 L,1.0068445422220837e-12
Default_PFC_28 L,2.08442784287337e-12
Default_PFC_29 L,4.40901143063165e-13
Default_PFC_3 L,4.071060725675204e-12
Default_PFC_4 L,2.2827544260629865e-11
Default_PFC_5 L,6.154513948133127e-11
Default_PFC_6 L,2.745288091284001e-12
Default_PFC_7 L,8.397990657591546e-11
Default_PFC_8 L,1.5375029712054057e-11
Default_PFC_9 L,4.798315802828449e-12
Default_PFCdPFCm_1 R,2.6641787661542717e-12
Default_PFCdPFCm_10 R,4.02826562846271e-12
Default_PFCdPFCm_11 R,5.75403979680258e-13
Default_PFCdPFCm_12 R,3.8161280550397064e-12
Default_PFCdPFCm_13 R,1.4688676886229953e-12
Default_PFCdPFCm_14 R,3.3447774748497407e-12
Default_PFCdPFCm_15 R,8.168966048120824e-13
Default_PFCdPFCm_16 R,2.1967464987633566e-13
Default_PFCdPFCm_17 R,2.7809949525545404e-12
Default_PFCdPFCm_18 R,2.196042726838808e-12
Default_PFCdPFCm_19 R,1.1789762728520783e-12
Default_PFCdPFCm_2 R,1.3059264816413702e-12
Default_PFCdPFCm_3 R,4.5138167190782153e-14
Default_PFCdPFCm_4 R,1.1059856450905107e-12
Default_PFCdPFCm_5 R,5.947666780399897e-12
Default_PFCdPFCm_6 R,1.5571474300070747e-12
Default_PFCdPFCm_7 R,4.4075828135488275e-13
Default_PFCdPFCm_8 R,9.772750828229129e-12
Default_PFCdPFCm_9 R,3.686322378004117e-13
Default_PFCv_1 R,5.1744045236038e-13
Default_PFCv_2 R,9.58102252868029e-12
Default_PFCv_3 R,1.713569006255495e-12
Default_PFCv_4 R,5.415177942972396e-11
Default_PFCv_5 R,6.02645940680125e-12
Default_PFCv_6 R,4.381255261717789e-12
Default_PHC_1 L,2.0157404054950798e-13
Default_Par_1 L,3.46883677054603e-14
Default_Par_1 R,2.2835476209295777e-13
Default_Par_10 L,7.604695812941143e-13
Default_Par_11 L,4.2214878882337375e-12
Default_Par_12 L,1.8515556478489343e-12
Default_Par_13 L,2.847560337998982e-12
Default_Par_2 L,2.2694067666639122e-14
Default_Par_2 R,2.5392177731836815e-13
Default_Par_3 L,1.093132110020392e-12
Default_Par_3 R,4.460190036521405e-13
Default_Par_4 L,4.5069056713878747e-13
Default_Par_4 R,2.254447507484116e-13
Default_Par_5 L,3.13618482539051e-14
Default_Par_5 R,5.83403266117743e-13
Default_Par_6 L,2.015299640686652e-13
Default_Par_6 R,2.685154020784051e-12
Default_Par_7 L,3.3625073107550815e-12
Default_Par_7 R,2.8169631181371162e-12
Default_Par_8 L,1.4227819633574182e-12
Default_Par_8 R,3.6344989009050217e-12
Default_Par_9 L,9.025162428342849e-13
Default_Temp_1 L,1.3558738725955766e-11
Default_Temp_1 R,4.337000491375334e-11
