region,value
Cont_Cing_4 L,3.726114873412385e-14
Cont_Cing_3 R,2.1812419563178305e-14
Cont_Par_1 L,6.176915133860761e-13
DorsAttn_Post_9 R,3.2826806828238297e-14
Cont_Par_2 L,7.575335647231477e-12
Cont_Par_4 R,2.4234742546140416e-13
Cont_Par_7 L,1.9109009372516318e-12
DorsAttn_Post_11 R,1.3963804216829476e-12
Cont_Par_8 L,7.851886760694064e-14
DorsAttn_Post_12 R,6.638083599242222e-14
Cont_Par_9 L,7.974954682130212e-14
Cont_Par_7 R,4.033067317906341e-12
DorsAttn_Post_16 L,1.5011085463711316e-13
Cont_Par_8 R,4.592976805861762e-14
DorsAttn_Post_13 R,1.3023577582157437e-13
Cont_Par_9 R,4.0776549751524435e-14
Cont_PFCd_1 L,1.5446688250375452e-13
DorsAttn_FEF_2 R,4.8782034989774786e-14
Cont_PFCd_2 L,1.8631554725754032e-13
Cont_PFCl_23 R,1.63679520669815e-13
Cont_PFCl_6 L,1.125754397911106e-12
Cont_PFCl_9 R,5.657270022328714e-12
Cont_PFCl_7 L,8.761214380662587e-12
Cont_PFCl_10 R,1.2121515471562402e-12
DorsAttn_PrCv_1 L,1.3391019049519635e-13
Cont_PFCl_11 R,4.03761238277693e-12
Cont_PFCl_9 L,1.0704507698513746e-11
Cont_PFCl_14 R,1.6387085394687715e-13
Cont_PFCl_10 L,1.8203547820555546e-13
Cont_PFCl_15 R,1.4791884606927683e-11
DorsAttn_PrCv_3 L,1.3248252179593587e-12
DorsAttn_PrCv_1 R,1.376732005656767e-13
Cont_PFCl_16 R,1.2426037756563055e-13
Cont_PFCl_3 L,5.466413837854705e-12
Cont_PFCl_5 L,6.208196129128749e-12
DorsAttn_Post_2 L,3.642783935920998e-13
DorsAttn_Post_5 L,5.629224263710183e-13
Default_Par_12 L,6.838009882381726e-13
Cont_Par_1 R,7.855462552535257e-13
Cont_Par_3 L,1.6374248837064339e-12
Cont_Par_3 R,3.0564992230989274e-12
Cont_Par_4 L,5.0423599578072375e-12
Default_Par_8 R,3.359983558843077e-12
Cont_Par_5 L,5.843034926204243e-13
Cont_Par_5 R,2.5131013676885238e-12
Cont_Par_6 L,8.885328855344017e-14
Cont_Par_6 R,4.1698610817513953e-13
Default_PFC_26 L,1.0223641694663549e-12
Cont_PFCl_12 L,3.657475518228168e-13
Cont_PFCl_13 L,1.3386103715171054e-12
