Unnamed: 0.2,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,regions,brainstorm_name,name,ast,end,mic,neu,oli,opc,category,prop_neur,cell_area_density,neuron_area_density,area,number_of_neurons
0,0,0,0,1,caudalanteriorcingulate L,L.cACC,0.166244096,0.05794082,0.154296752,0.022978817,0.102194572,0.071856673,frontal,0.039927626,68428.0,2732.167591928,,
1,1,1,1,2,caudalmiddlefrontal L,L.cMidFront,0.031264531,0.145519127,0.068954708,0.077683788,0.096527355,0.057426516,frontal,0.162730812,68428.0,11135.344003536,,
2,2,2,2,3,cuneus L,L.cuneus,0.10182059,0.07982479,0.067563057,0.036486406,0.045748154,0.086330914,occipital,0.087335291,104307.0,9109.682198337,,
3,3,3,3,4,entorhinal L,L.entorhinal,0.176028032,0.007972472,0.098345613,0.028853875,0.03812311,0.018691563,temporal,0.078404145,64258.0,5038.09354941,,
4,4,4,4,5,fusiform L,L.fusiform,0.13716047,0.070058302,0.114088554,0.076702008,0.139837971,0.059826298,temporal,0.128334274,64258.0,8246.503778692,,
5,5,5,5,6,inferiorparietal L,L.InfPar,0.060994919,0.105787836,0.072549393,0.094399555,0.056938064,0.059048725,prefrontal,0.209908102,57797.0,12132.058571294,,
6,6,6,6,7,inferiortemporal L,L.InfTemp,0.141486459,0.085664609,0.091669481,0.100370516,0.050432942,0.039860281,temporal,0.197004144,64258.0,12659.092285152,,
7,7,7,7,8,isthmuscingulate L,L.IsthmusCingulate,0.127733363,0.15431286,0.031887219,0.072505717,0.067911309,0.062522001,parietal,0.140277769,80959.0,11356.747900471,,
8,8,8,8,9,lateraloccipital L,L.LatOcci,0.107219042,0.081977213,0.038880251,0.036757285,0.082833662,0.075214806,occipital,0.086920849,104307.0,9066.452996643,,
9,9,9,9,10,lateralorbitofrontal L,L.LatOFC,0.056123637,0.077138929,0.129661967,0.06524197,0.106196427,0.050292817,frontal,0.134615076,68428.0,9211.440420528,,
10,10,10,10,11,lingual L,L.lingual,0.158708065,0.041205254,0.063683728,0.069061025,0.065799512,0.064169785,occipital,0.149280025,104307.0,15570.951567675002,,
11,11,11,11,12,medialorbitofrontal L,L.MedOFC,0.126690519,0.066215348,0.162270753,0.079010731,0.033292952,0.042520729,prefrontal,0.154922688,57797.0,8954.066598336,,
